catalog,vizier_source,vizier_table,recno,ACT-CL,RAJ2000,DEJ2000,SNR,SNR2p4,y0,e_y0,H13_,PSZ2_,RM_,AName,RABdeg,DEBdeg,z,e_z,n_z,r_z,delSDSS,e_delSDSS,delS82,e_delS82,delCFHT,e_delCFHT,delSOAR,e_delSOAR,M500cUPP,E_M500cUPP,e_M500cUPP,M500cUnc,E_M500cUnc,e_M500cUnc,M200mUPP,E_M200mUPP,e_M200mUPP,M200mUnc,E_M200mUnc,e_M200mUnc,M500cCal,E_M500cCal,e_M500cCal,Simbad,NED,RA_deg,Dec_deg
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,1,J0001.4-0306,0.36334,-3.10161,4.34,4.1,0.68,0.17,0,0,0,,0.36493,-3.08636,0.102,1e+20,spec,SDSS,3.88,0.24,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.52,0.82,0.62,3.09,1.09,0.81,4.98,1.63,1.23,6.15,2.17,1.6,3.7,1.35,1.09,Simbad,NED,0.36334,-3.10161
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,2,J0003.1-0605,0.7993,-6.08774,8.47,8.14,2.03,0.25,0,1,1,ABELL 2697,0.79826,-6.0917,0.233,1e+20,spec,SDSS,13.88,0.86,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,5.88,1.31,1.07,6.84,1.62,1.31,11.26,2.51,2.05,13.16,3.11,2.51,8.65,2.38,2.11,Simbad,NED,0.7993,-6.08774
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,3,J0005.0-0138,1.269,-1.63793,7.09,6.29,0.99,0.16,0,0,0,,1.27419,-1.64499,0.98,0.05,phot,zC_SOAR,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,18.04,2.36,2.8,0.5,0.42,3.13,0.58,0.49,4.79,0.85,0.72,5.36,0.99,0.84,4.12,0.99,0.91,Simbad,NED,1.269,-1.63793
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,4,J0006.0-0231,1.51897,-2.52854,4.79,4.5,0.79,0.18,0,0,1,,1.5301,-2.52497,0.618,1e+20,spec,SDSS,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.58,0.56,0.46,2.92,0.66,0.54,4.46,0.96,0.79,5.07,1.14,0.93,3.79,1.02,0.91,Simbad,NED,1.51897,-2.52854
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,5,J0006.9-0041,1.72685,-0.68644,5.26,5.25,0.73,0.14,0,0,1,GMBCG J001.72541-00.68874,1.73389,-0.68106,0.546,1e+20,spec,SDSS,6.19,0.86,5.81,0.41,1e+20,1e+20,1e+20,1e+20,2.51,0.52,0.43,2.8,0.6,0.49,4.38,0.9,0.75,4.89,1.04,0.86,3.7,0.97,0.87,Simbad,NED,1.72685,-0.68644
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,6,J0007.3+0341,1.8345,3.69009,4.93,4.64,0.97,0.21,0,0,1,,1.84313,3.68886,0.507,1e+20,spec,SDSS,6.62,1.04,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,3.02,0.67,0.55,3.44,0.8,0.65,5.31,1.18,0.97,6.08,1.41,1.15,4.44,1.22,1.08,Simbad,NED,1.8345,3.69009
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,7,J0008.1+0201,2.04403,2.02385,11.22,10.67,1.63,0.15,1,1,1,WHL J000810.4+020112,2.04333,2.02008,0.366,1e+20,spec,SDSS,6.02,0.58,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,4.74,0.9,0.75,5.28,1.04,0.87,8.67,1.64,1.38,9.68,1.9,1.59,6.97,1.73,1.58,Simbad,NED,2.04403,2.02385
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,8,J0008.8+0116,2.21748,1.28288,5.39,5.21,0.71,0.14,0,0,0,WHL J000856.7+011517,2.22694,1.27521,0.623,1e+20,spec,SDSS,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.44,0.49,0.41,2.71,0.57,0.47,4.21,0.85,0.71,4.69,0.98,0.81,3.58,0.93,0.84,Simbad,NED,2.21748,1.28288
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,9,J0012.1-0046,3.02579,-0.77086,4.17,3.87,0.62,0.16,1,0,0,,3.0075,-0.77625,1.36,0.06,phot,M13,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1.76,0.36,0.3,2.04,0.44,0.36,3.02,0.62,0.51,3.52,0.76,0.62,2.59,0.68,0.61,Simbad,NED,3.02579,-0.77086
act_hilton_2018,J/ApJS/235/20/catalog,J/ApJS/235/20/catalog,10,J0012.8-0855,3.20082,-8.92775,4.05,3.52,1.07,0.3,0,1,1,WHL J001248.9-085535,3.20371,-8.9265,0.337,1e+20,spec,SDSS,11.38,0.98,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,3.15,0.87,0.68,3.78,1.12,0.86,5.74,1.59,1.24,6.93,2.05,1.58,4.63,1.48,1.25,Simbad,NED,3.20082,-8.92775
