catalog,vizier_source,vizier_table,recno,Name,RAJ2000,DEJ2000,SNR,Template,TileName,fixedSNR,YC,e_YC,fixedYC,e_fixedYC,z1C,z2C,L1C,L2C,e_L1C,e_L2C,e_z1C,e_z2C,fcont1C,fcont2C,M500-1C,E_M500-1C,e_M500-1C,M500-2C,fcont1CSNR45,fcont2CSNR45,M500-1CCAL,E_M500-1CCAL,e_M500-1CCAL,M500-2CCAL,zsp1,zspType,RA_deg,Dec_deg
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,1,ACT-CL J1522.8+0830,230.70850294843,8.50952386771,5.8741023874266,Arnaud_M1e14_z1p2,2_2_4,5.61965005563861,1.664443385406566,0.283352804501548,0.515056269011161,0.091652729958579,1.290833353996277,0.034847,42.4760776147817,60.824315294517966,8.09673229553769,11.57794744304297,0.104652565759835,0.004442680770746,0.078858114778996,0.010849989019334,158360000000000.0,0.831406699580684,0.589248612122969,257224000000000.0,0.045758581751045,0.005341992173358,223042000000000.0,0.829927647790542,0.831406699580684,362287000000000.0,-99.9000015258789,0,230.70850294843,8.50952386771
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,2,ACT-CL J1523.0+0835,230.76254935918,8.58976576774,4.96900375823251,Arnaud_M8e14_z0p2,2_2_4,3.54941523255579,0.283646107949351,0.057083093865529,0.318767634750575,0.089808493474302,0.036735,1.038333296775818,69.1301089002084,0.094558545349225,9.71318637374088,3.15179389754886,0.004525361958066,0.042677374309757,0.005674172192812,1.0,142411000000000.0,0.818141308276095,0.543506269970067,121385000000000.0,0.002755758060817,0.931977698951283,200579000000000.0,0.765501811825288,1.152311736622567,170965000000000.0,0.0352,1,230.76254935918,8.58976576774
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,3,ACT-CL J0041.1-0912,10.27936744108,-9.21663665905,4.13039066728338,Arnaud_M1e14_z1p2,1_9_7,3.37122449329359,1.934100268307835,0.468260855717051,0.523482259705291,0.15527956110507,0.044997,1.437568,51.7029727622945,30.104052763304157,10.74612390941296,15.08588889256151,0.005115719750953,0.14233705234266,0.019933059811592,0.870664238929749,280788000000000.0,0.989209761048153,0.664887455415679,148689000000000.0,99.9000015258789,99.9000015258789,395476000000000.0,0.936461233112615,1.393253226681865,209421000000000.0,0.053827125579119,2,10.27936744108,-9.21663665905
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,4,ACT-CL J0409.5-5937,62.39184625724,-59.62633817136,4.22711563937515,Arnaud_M8e14_z0p2,1_0_2,3.58212158699066,0.400102838459691,0.094651500596003,0.571274009993814,0.159479234894911,0.045,0.698957,61.886526517993,17.61026107431723,8.86286130905654,5.75852400845121,0.005017838944833,0.024368383220735,0.010250615887344,0.235442101955414,259306000000000.0,1.110501844072588,0.753123880656183,204057000000000.0,99.9000015258789,99.9000015258789,365220000000000.0,1.060737892136829,1.564087151597545,287404000000000.0,0.051130000501871,2,62.39184625724,-59.62633817136
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,5,ACT-CL J2019.0-5233,304.75436088265,-52.55173694299,4.04305532142964,Arnaud_M1e14_z1p2,1_1_10,3.71713936599222,2.438324061036064,0.60308946259332,0.697136592848921,0.187546530869131,0.052465,0.797202,48.5449483438606,10.262335022372708,9.38571081670009,7.02924596421187,0.005447871290224,0.023946143343674,0.080401666462421,0.46917986869812,355198000000000.0,1.133807976589958,0.783897862117602,230029000000000.0,99.9000015258789,99.9000015258789,500278000000000.0,1.104081529307918,1.596912691346461,323984000000000.0,0.048730999231339,2,304.75436088265,-52.55173694299
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,6,ACT-CL J1521.8+0742,230.4514186376,7.70977270372,5.97666957704624,Arnaud_M8e14_z0p2,2_1_3,5.12098343475724,0.363878867418302,0.060883216434752,0.492046807404603,0.096084436451204,0.053812,-0.1,51.7437650055028,-0.1,8.66487096579038,-0.1,0.005447166833415,9.899999618530273,0.021978752687573,1.0,226103000000000.0,0.804921723343967,0.586004381316602,1e+20,0.011137062545703,0.931977698951283,318455000000000.0,0.825358308488549,1.133692602352636,1e+20,0.0442,1,230.4514186376,7.70977270372
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,7,ACT-CL J1417.5+0810,214.39093975938,8.1708915119,5.7784918035649,Arnaud_M4e14_z0p8,2_2_5,5.74636681387268,0.654853530766955,0.113326029183421,0.51173078741742,0.089052927526662,0.05436,0.777327,64.4231523153587,14.09123138928468,8.75841816668974,6.01325799231465,0.005336283121487,0.02270893540366,0.008451114408672,0.361608237028122,246256000000000.0,0.829042252121959,0.611512653300944,185477000000000.0,0.004134729474188,0.290580413240467,346839000000000.0,0.86128545321426,1.167665179123007,261236000000000.0,0.057331166634915,1,214.39093975938,8.1708915119
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,8,ACT-CL J2157.5-0749,329.37790670069,-7.8304103734,4.04168901726616,Arnaud_M1e14_z1p2,1_9_11,3.57660137572937,3.068999216620312,0.759335813198269,0.839564096100612,0.234737955925939,0.05544,0.440915,96.7053294805844,11.824322297036112,11.82928181372604,4.43090639844002,0.005087891494544,0.010664867041128,0.0,0.30601304769516,390150000000000.0,1.204014819249855,0.834159104000673,270816000000000.0,99.9000015258789,99.9000015258789,549506000000000.0,1.174872012972804,1.695795571320676,381431000000000.0,0.057916551828384,2,329.37790670069,-7.8304103734
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,9,ACT-CL J0041.8-0918,10.45645075975,-9.3074074158,6.27704373195095,Arnaud_M8e14_z0p2,1_9_7,5.35251875716182,0.603900544018294,0.096207796186661,0.820886038943967,0.153364439469847,0.05562,0.5576,112.4898763379286,10.609082588247384,12.82646670066252,5.88717498380246,0.005049635691599,0.0105641653839,0.0,0.39277708530426,317623000000000.0,1.195193255296059,0.876747784928889,262304000000000.0,0.0,0.322843830064977,447357000000000.0,1.234856072431023,1.683370832982082,369443000000000.0,0.055,1,10.45645075975,-9.3074074158
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,10,ACT-CL J2357.0-3445,359.2572497163,-34.75445328973,6.99927652529414,Arnaud_M8e14_z0p2,1_4_9,6.28681757959329,0.476085173857807,0.068019197718124,0.646525738774668,0.102838316936897,0.05652,-0.1,80.3727063761789,-0.1,10.56983750852427,-0.1,0.005243232133515,9.899999618530273,0.0,1.0,285023000000000.0,1.013399601268419,0.753180106969534,1e+20,0.0,0.931977698951283,401440000000000.0,1.060817084129858,1.427323425204869,1e+20,0.050400000065565,1,359.2572497163,-34.75445328973
act_dr5_mcmf,J/A+A/690/A322/catalog,J/A+A/690/A322/catalog,11,ACT-CL J0330.9-5228,52.72802357086,-52.47058821968,10.86231346043327,Arnaud_M8e14_z0p2,1_1_3,9.778121664547,0.979350367566679,0.090160385366711,1.428639391346751,0.146105708269783,0.43012,0.056722,146.316326151251,183.67662104290002,14.12742062828179,16.79481138390097,0.009786949810145,0.004991245999809,0.0,0.0,405874000000000.0,1.315515336350172,1.001567154720667,667127000000000.0,0.0,0.0,571654000000000.0,1.410658007028316,1.315515336350172,939616000000000.0,-99.9000015258789,0,52.72802357086,-52.47058821968
