catalog,vizier_source,vizier_table,recno,CIZA,RAJ2000,DEJ2000,GLON,GLAT,CR,e_CR,NH,FX,z,u_z,LX,r_z,n_z,Name,RA_deg,Dec_deg
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,1,J0107.7+5408,01 07 47.8,+54 08 31,125.355,-8.653,0.3473,0.0555,24.76,11.23,0.1066,,5.42,1,,ZwCl 0104.9+5350,16.949166666666663,54.14194444444444
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,2,J0108.0+7558,01 08 01.1,+75 58 40,123.964,13.139,0.276,0.0285,17.99,7.76,0.096,,3.05,1,,,17.00458333333333,75.97777777777777
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,3,J0214.2+5144,02 14 16.2,+51 44 48,135.742,-9.053,0.4187,0.0603,16.5,11.43,0.0489,,1.17,1,,,33.5675,51.74666666666667
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,4,J0254.4+4134,02 54 29.5,+41 34 18,146.347,-15.639,6.3401,0.1727,9.2,142.36,0.0172,,1.8,2,,AWM 7,43.62291666666666,41.57166666666667
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,5,J0300.7+4427,03 00 45.0,+44 27 47,145.951,-12.553,1.939,0.0976,14.84,50.7,0.03,,1.95,1,,,45.1875,44.463055555555556
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,6,J0319.7+4130,03 19 47.2,+41 30 47,150.574,-13.262,36.3826,0.3007,15.67,960.53,0.0179,,13.09,3,,A426 (Perseus),49.94666666666666,41.51305555555555
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,7,J0450.0+4501,04 50 03.5,+45 01 27,160.522,0.278,1.333,0.1273,67.8,91.31,0.022,,1.89,1,,3C 129.1 cluster,72.51458333333332,45.024166666666666
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,8,J0515.3+5845,05 15 20.5,+58 45 59,151.853,11.654,0.2494,0.0336,19.8,7.27,0.1203,,4.47,1,,,78.83541666666665,58.76638888888889
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,9,J0516.3+1712,05 16 20.6,+17 12 33,186.273,-11.994,0.4088,0.0406,23.47,12.87,0.115,,7.21,1,,,79.08583333333333,17.209166666666665
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,10,J0516.6+0626,05 16 37.3,+06 26 16,195.716,-17.723,1.3283,0.1104,12.04,32.39,0.0284,,1.12,4,,A539,79.15541666666665,6.437777777777778
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,11,J0516.9+2925,05 16 58.4,+29 25 14,176.168,-4.967,0.1343,0.0281,41.26,5.94,0.13,,4.26,1,,,79.24333333333333,29.420555555555556
ciza,J/ApJ/580/774/table1,J/ApJ/580/774/table1,12,J0522.7+2806,05 22 47.7,+28 06 32,177.979,-4.662,0.3221,0.0456,40.86,14.32,0.058,,2.06,1,,,80.69874999999999,28.10888888888889
