catalog,vizier_source,vizier_table,recno,CIZA,RAJ2000,DEJ2000,GLON,GLAT,CR,e_CR,nH,FX,LX,z,r_z,Nz,Name,RA_deg,Dec_deg
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,1,J0142.9+4438,01 42 57.4,+44 38 39,132.492,-17.269,0.202,0.0448,9.12,4.51,21.36,0.341,1,2,,25.739166666666666,44.64416666666666
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,2,J0157.1+4120,01 57 07.8,+41 20 24,135.976,-19.862,0.283,0.0651,8.05,6.12,1.72,0.081,2,2,Abell 276,29.282499999999995,41.34
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,3,J0301.7+3549,03 01 47.7,+35 49 57,150.611,-19.937,0.3251,0.0557,11.56,7.84,0.74,0.047,2,34,Abell 407,45.44875,35.8325
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,4,J0527.2+0413,05 27 13.7,+04 13 07,199.119,-16.576,0.18,0.0296,13.48,4.54,4.39,0.151,1,3,,81.80708333333332,4.2186111111111115
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,5,J0553.4-0558,05 53 27.0,-05 58 03,211.683,-15.604,0.1526,0.0262,19.91,4.45,4.31,0.151,1,2,,88.36249999999998,-5.9675
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,6,J0604.6+4257,06 04 39.6,+42 57 10,169.688,10.293,0.2176,0.0403,21.65,6.63,3.92,0.118,1,2,,91.16499999999999,42.95277777777778
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,7,J0612.6+4836,06 12 36.8,+48 36 07,165.148,14.053,0.3794,0.0607,15.08,9.98,1.92,0.067,2,5,Abell 553,93.15333333333334,48.60194444444445
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,8,J0616.3-2156,06 16 19.7,-21 56 54,229.236,-17.242,0.1695,0.0267,11.12,4.02,4.97,0.171,1,2,,94.08208333333332,-21.948333333333334
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,9,J0629.1+4606,06 29 09.8,+46 06 04,168.695,15.586,0.1525,0.0369,12.38,3.74,2.65,0.129,1,3,,97.29083333333332,46.10111111111111
ciza2,J/ApJ/662/224/table2,J/ApJ/662/224/table2,10,J0632.0+2519,06 32 01.4,+25 19 38,188.161,7.296,0.15,0.0468,33.84,5.91,1.43,0.075,1,2,,98.00583333333331,25.327222222222222
