catalog,vizier_source,vizier_table,recno,ID,ID-SRC,RAJ2000,DEJ2000,ExtLike,DetLike,z,zType,T300kpc,e_T300kpc,E_T300kpc,L300kpc,e_L300kpc,E_L300kpc,Lbol300kpc,e_Lbol300kpc,E_Lbol300kpc,F300kpc,e_F300kpc,E_F300kpc,T500kpc,e_T500kpc,E_T500kpc,L500kpc,e_L500kpc,E_L500kpc,Lbol500kpc,e_Lbol500kpc,E_Lbol500kpc,F500kpc,e_F500kpc,E_F500kpc,SNRMax,RSNRMax,Simbad,RA_deg,Dec_deg
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,1,eFEDS J082626.5-003429,28993,126.6108,-0.5748,8.5,5.0,0.161,0,1e+20,1e+20,1e+20,1e+20,1e+20,0.35,1e+20,1e+20,1.63,1e+20,1e+20,5.45,1e+20,1e+20,1e+20,1e+20,1e+20,0.39,1e+20,1e+20,1.78,1e+20,1e+20,6.04,1.3,0.8,Simbad,126.6108,-0.5748
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,2,eFEDS J082751.7-002853,11248,126.9655,-0.4816,12.8,27.9,0.257,0,1e+20,1e+20,1e+20,1e+20,1e+20,1.02,1e+20,1e+20,1.72,1e+20,1e+20,4.71,1e+20,1e+20,1e+20,1e+20,1e+20,1.06,1e+20,1e+20,1.8,1e+20,1e+20,4.9,3.1,0.74,Simbad,126.9655,-0.4816
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,3,eFEDS J082808.7-001003,4800,127.0366,-0.1677,28.5,62.5,0.076,0,0.89,0.79,0.99,0.26,0.22,0.3,0.4,0.34,0.46,18.02,15.43,20.66,0.88,0.79,0.98,0.28,0.23,0.34,0.44,0.36,0.53,19.76,16.24,23.83,8.8,2.63,Simbad,127.0366,-0.1677
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,4,eFEDS J082820.5-000721,4169,127.0856,-0.1228,42.4,81.4,0.845,0,1e+20,1e+20,1e+20,15.17,12.17,18.4,40.74,32.62,53.55,5.12,4.18,6.02,1e+20,1e+20,1e+20,23.09,18.91,27.62,62.08,50.9,80.14,7.8,6.56,8.96,7.3,1.47,Simbad,127.0856,-0.1228
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,5,eFEDS J082840.6-000500,7991,127.1692,-0.0836,18.4,37.5,0.32,0,1e+20,1e+20,1e+20,1.43,1.17,1.68,3.28,2.6,4.01,4.49,3.7,5.26,1e+20,1e+20,1e+20,1.75,1.42,2.07,3.99,3.18,4.93,5.51,4.44,6.47,5.6,1.34,Simbad,127.1692,-0.0836
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,6,eFEDS J082859.9+010756,14973,127.25,1.1323,19.2,14.4,0.354,0,1e+20,1e+20,1e+20,0.86,0.58,1.26,3.04,1.82,4.96,2.3,1.55,3.35,1e+20,1e+20,1e+20,1.85,1.31,2.45,6.48,4.08,9.96,4.92,3.51,6.56,4.3,3.16,Simbad,127.25,1.1323
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,7,eFEDS J082952.7+002139,7528,127.4697,0.3611,7.7,38.6,0.42,0,1e+20,1e+20,1e+20,1.36,1.03,1.74,3.63,2.61,5.2,2.35,1.81,3.0,1e+20,1e+20,1e+20,1.43,1.07,1.84,3.82,2.72,5.48,2.46,1.86,3.19,4.6,0.68,Simbad,127.4697,0.3611
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,8,eFEDS J082955.4+004131,3810,127.481,0.6922,24.2,80.3,0.94,0,1e+20,1e+20,1e+20,13.94,11.31,17.08,49.72,38.16,74.64,4.04,3.35,4.78,1e+20,1e+20,1e+20,19.16,15.77,23.18,69.31,52.28,100.38,5.56,4.69,6.44,7.0,1.21,Simbad,127.481,0.6922
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,9,eFEDS J083040.7+023219,9837,127.6697,2.5388,11.5,23.7,0.111,0,1e+20,1e+20,1e+20,0.07,0.05,0.1,0.12,0.08,0.16,2.23,1.48,3.11,1e+20,1e+20,1e+20,0.07,0.05,0.1,0.12,0.08,0.16,2.24,1.48,3.14,3.3,0.72,Simbad,127.6697,2.5388
efeds,J/A+A/661/A2/efeds_cl,J/A+A/661/A2/efeds_cl,10,eFEDS J083110.5+015616,5601,127.794,1.9378,11.8,34.1,0.42,0,1e+20,1e+20,1e+20,2.44,1.92,2.98,6.15,4.74,8.04,4.21,3.33,5.06,1e+20,1e+20,1e+20,3.68,3.05,4.36,9.2,7.45,12.16,6.3,5.26,7.44,6.8,1.72,Simbad,127.794,1.9378
