catalog,vizier_source,vizier_table,recno,Name,ID-SRC,RAJ2000,DEJ2000,ePos,Ext,e_Ext,ExtLike,MLCT,e_MLCT,MLRate,e_MLRate,MLFlux,e_MLFlux,DetLike,MLBkg,MLExpTime,INAREA90,FcontBest,zBest,e_zBest,lambdaBest,e_lambdaBest,SurvBest,RAOdeg,DEOdeg,zspBest,o_zspBest,MProxBest,Fcont2Best,z2Best,lambda2Best,e_lambda2Best,e_z2Best,Surv2Best,MProx2Best,FlagO-Xpos,MaskFr3Foot,MaskFrFlg,MaskFrR500Foot,MaskFrR500Flg,MaskFrR500Foot2,MaskFrR500Flg2,RAGdeg,DEGdeg,RAG2deg,DEG2deg,RABdeg,DEBdeg,alpha,delta,beta,ellip,CenterShift,DistNOR500,DistNX,DistNXR500,MCMFNwaySec,FcontLFCLS,zLFCLS,lambdaLFCLS,e_lambdaLFCLS,zP1LS,zP2LS,zP3LS,lambdaP1LS,lambdaP2LS,lambdaP3LS,e_lambdaP1LS,e_lambdaP2LS,e_lambdaP3LS,FcontP1LS,FcontP2LS,FcontP3LS,DeltaLFCLS,e_zLFCLS,e_zP1LS,e_zP2LS,e_zP3LS,FcontLFCHSC,zLFCHSC,lambdaLFCHSC,e_lambdaLFCHSC,e_zLFCHSC,zP1HSC,zP2HSC,zP3HSC,lambdaP1HSC,lambdaP2HSC,lambdaP3HSC,e_lambdaP1HSC,e_lambdaP2HSC,e_lambdaP3HSC,e_zP1HSC,e_zP2HSC,e_zP3HSC,FcontP1HSC,FcontP2HSC,FcontP3HSC,Simbad,RA_deg,Dec_deg
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,1,eFEDS J093712.8+031651,38,144.30357,3.28104,4.0,26.96547,5.96836,19.69656,83.2592,16.003,0.070339,0.01352,6.63574e-14,1.27543e-14,25.99643,6.72447,1183.68726,T,0.124957,0.2474,0.0156,7.326,2.9907,1,144.30099,3.27821,-1.0,1,1.078813,0.050969,0.35292,12.24,3.9904,0.0131,2,1.55615,3,0.0,0.0,0.0,0.0,0.0,0.0,144.301,3.27821,144.301,3.27821,144.29192,3.24165,0.0571881,0.2604474,0.291617,0.599467,0.456086,8.338902,7.388609,9.777047,A,0.124957,0.24744,7.325609,2.990705,0.36247,0.24744,-0.1,8.751401,7.325609,-0.1,3.720432,2.990705,-0.1,0.129502,0.124957,1.0,0.004545,0.015408,0.019982,1e+20,10.0,0.050969,0.35292,13.600006,4.43376,0.013143,0.35292,0.7625,-0.1,13.600006,3.208928,-0.1,4.43376,2.952333,-0.1,0.013143,1e+20,10.0,0.050969,1.0,1.0,Simbad,144.30357,3.28104
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,2,eFEDS J083811.8-015934,53,129.54957,-1.99296,1.381066,8.41508,0.67121,163.66698,840.92731,32.6098,0.742105,0.028778,7.00099e-13,2.71487e-14,2105.14575,7.06201,1133.16504,T,0.0,0.56,0.0072,62.982,8.4918,1,129.54886,-1.99249,-1.0,0,8.390141,0.28816,0.123775,3.0889,2.1699,0.0165,1,1.78159,3,0.0,0.0,0.0,0.0,0.0,0.020433,129.54773,-1.99204,129.5543,-2.04682,129.54886,-1.99249,0.1314101,0.2315234,0.2111282,0.482397,0.258212,5.109306,6.826096,5.099522,A,0.0,0.56002,62.982009,8.491773,0.56002,0.12377,0.37251,62.982009,3.088855,2.793592,8.491773,2.169887,3.327875,0.0,0.28816,0.456672,0.28816,0.008334,0.008334,0.012353,0.054345,0.0,0.559485,62.504234,8.888894,0.007761,0.559485,-0.1,-0.1,62.504234,-0.1,-0.1,8.888894,-0.1,-0.1,0.007761,10.0,10.0,0.0,1.0,1.0,Simbad,129.54957,-1.99296
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,3,eFEDS J093520.9+023234,82,143.8374,2.54287,2.256955,11.64608,0.9218,175.88947,789.41034,32.8958,0.663041,0.02763,6.2551e-13,2.60658e-14,1645.81299,7.19842,1190.59119,T,0.0,0.5098,0.0052,149.227,12.8866,1,143.83797,2.53918,0.51556,4,7.548807,0.33379,0.2249,3.1585,2.472,0.022,2,3.28926,3,0.0,0.0,0.0,0.001143,0.0,0.036077,143.83796,2.53918,143.76798,2.58092,143.84384,2.53918,0.1497122,0.2143479,0.2272544,0.441991,0.313691,99.900002,0.914686,0.694703,A,0.0,0.50982,149.226537,12.886563,0.50982,1.26483,-0.1,149.226537,2.496892,-0.1,12.886563,7.909696,-0.1,0.0,1.0,1.0,1.0,0.006216,0.006216,1e+20,10.0,0.0,0.504807,158.562027,12.684987,0.005876,0.504807,0.2249,-0.1,158.562027,3.509443,-0.1,12.684987,2.746714,-0.1,0.005876,1e+20,10.0,0.0,0.33379,1.0,Simbad,143.8374,2.54287
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,4,eFEDS J092121.2+031726,100,140.33848,3.2906,2.786281,31.71777,1.42063,478.55331,1507.95618,56.9816,1.110715,0.041971,1.04784e-12,3.95952e-14,1729.74695,9.52384,1357.64514,T,0.0,0.355,0.0052,123.05,11.3328,1,140.33795,3.28701,0.33294,4,6.751583,1.0,-1.0,0.0,0.0,0.0,0,-7e-15,3,0.0,0.0,0.0,0.0,1.0,1.0,140.33661,3.28358,-99.9,-99.9,140.33795,3.28701,0.1263421,0.2167938,0.3965601,0.548407,0.253045,99.900002,6.280532,4.680137,A,0.0,0.35497,123.050389,11.33279,0.35497,-0.1,-0.1,123.050389,-0.1,-0.1,11.33279,-0.1,-0.1,0.0,1.0,1.0,1.0,0.005989,0.005989,10.0,10.0,0.0,0.356598,166.365677,13.411784,0.005595,0.356598,-0.1,-0.1,166.365677,-0.1,-0.1,13.411784,-0.1,-0.1,0.005595,10.0,10.0,0.0,1.0,1.0,Simbad,140.33848,3.2906
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,5,eFEDS J085751.6+031039,108,134.4653,3.17754,5.122587,57.36883,1.69607,742.2099,2941.5022,104.567,2.500211,0.08888,2.35869e-12,8.38488e-14,2053.94702,8.8142,1176.50159,T,0.0,0.1979,0.0046,97.853,10.8321,1,134.47479,3.17649,0.20054,3,5.630906,1.0,-1.0,0.0,0.0,0.0,0,-7e-15,3,0.0,0.0,0.0,0.0,1.0,1.0,134.46594,3.17085,-99.9,-99.9,134.47479,3.17649,0.1843822,0.2980333,0.3158169,0.452866,0.265861,1.704293,2.833925,2.12678,A,0.0,0.19787,97.852655,10.832115,0.19787,0.55925,-0.1,97.852655,3.657617,-0.1,10.832115,3.492234,-0.1,0.0,0.891691,1.0,0.891691,0.005509,0.005509,1e+20,10.0,0.0,0.1954,103.276711,11.020772,0.005352,0.1954,0.5875,-0.1,103.276711,3.370235,-0.1,11.020772,4.42293,-0.1,0.005352,1e+20,10.0,0.0,0.856042,1.0,Simbad,134.4653,3.17754
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,6,eFEDS J092647.5+050032,137,141.69795,5.00905,3.680027,34.24024,1.70484,505.36676,1269.64819,53.113,0.988699,0.04136,9.32735e-13,3.9019e-14,1395.71533,8.21967,1284.16077,T,0.0,0.4549,0.0052,161.261,13.5468,1,141.69695,5.00111,-1.0,0,8.005303,0.063477,0.2929,11.9331,3.9996,0.0132,1,5.1339,4,0.0,0.0,0.0,0.0,0.0,0.0,141.69839,5.00658,141.70801,4.98443,141.69695,5.00111,0.078323,0.137997,0.3152924,0.591055,0.260348,99.900002,0.315917,0.230575,A,0.0,0.45492,161.260876,13.546758,0.45492,0.2929,0.12495,161.260876,11.933075,5.182525,13.546758,3.999637,2.718471,0.0,0.063477,0.161131,0.063477,0.005972,0.005972,0.022796,0.008931,1.0,-99.900002,-99.900002,-99.900002,10.0,-99.900002,-99.900002,-99.900002,-99.900002,-99.900002,-99.9,-99.900002,-99.900002,-99.9,10.0,10.0,10.0,1.0,1.0,1.0,Simbad,141.69795,5.00905
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,7,eFEDS J084528.6+032739,144,131.3695,3.46089,3.187693,28.41662,1.6418,316.69849,942.22089,43.3929,0.874267,0.040263,8.2478e-13,3.79843e-14,1182.95679,6.45771,1077.72681,T,0.0,0.3499,0.0063,64.422,9.6447,1,131.36568,3.46081,0.33433,4,5.913719,0.21868,0.101565,3.7535,2.5879,0.0129,1,1.60952,3,0.0,0.0,0.0,0.0,0.0,0.003132,131.36998,3.46056,131.41019,3.47433,131.36568,3.46081,0.130602,0.1666595,0.1970011,0.046051,0.254389,99.900002,19.738748,15.345604,B1,0.0,0.3499,64.422377,9.644704,0.3499,0.10157,-0.1,64.422377,3.7535,-0.1,9.644704,2.587908,-0.1,0.0,0.21868,1.0,0.21868,0.006906,0.006906,1e+20,10.0,0.0,0.333228,155.401093,13.401143,0.005547,0.333228,0.79778,0.07733,155.401093,5.730076,3.81432,13.401143,4.301691,2.46248,0.005547,0.045205,0.007901,0.0,1.0,0.41491,Simbad,131.3695,3.46089
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,8,eFEDS J092002.1+010219,150,140.00903,1.03887,2.707373,14.81151,1.15094,179.59393,693.43646,32.0794,0.453511,0.02098,4.2784e-13,1.97926e-14,1049.64465,11.55365,1529.04028,T,-1.0,0.017,0.001,1.28,-1.0,-1,140.00905,1.03832,0.017,1,0.1694,1.0,-1.0,0.0,0.0,0.0,0,-7e-15,3,0.0,0.016976,0.0,0.0,1.0,1.0,-1.0,91.0,-99.9,-99.9,140.00905,1.03832,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,B1,1.0,0.7464,2.146925,5.035822,0.7464,-0.1,-0.1,2.146925,-0.1,-0.1,5.035822,-0.1,-0.1,1.0,1.0,1.0,0.0,0.101008,0.101008,10.0,10.0,1.0,0.9047,2.944172,3.437017,0.078642,0.9047,-0.1,-0.1,2.944172,-0.1,-0.1,3.437017,-0.1,-0.1,0.078642,10.0,10.0,1.0,1.0,1.0,Simbad,140.00903,1.03887
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,9,eFEDS J090131.1+030056,152,135.37999,3.0157,5.006569,33.49396,1.66556,373.94992,1196.78821,51.5781,1.013088,0.043661,9.55743e-13,4.11897e-14,1266.69153,8.41139,1181.32715,T,0.0,0.1943,0.0048,62.315,8.7076,1,135.37949,3.01564,0.19324,3,3.496636,1.0,-1.0,0.0,0.0,0.0,0,-7e-15,3,0.0,0.121665,0.0,0.035888,1.0,1.0,135.37648,3.01156,-99.9,-99.9,135.37949,3.01564,0.158592,0.3207808,0.2537691,0.48915,0.310878,0.470425,0.486326,0.427307,B1,0.0,0.19434,62.315474,8.707572,0.19434,1.07734,0.10876,62.315474,8.785951,2.295117,8.707572,7.962785,2.33581,0.0,1.0,0.324556,0.324556,0.005732,0.005732,0.258614,0.01285,0.0,0.188845,50.873486,8.042415,0.005746,0.188845,0.10257,1.19194,50.873486,3.996412,3.53416,8.042415,2.564384,4.245,0.005746,0.009146,0.203938,0.0,0.392106,1.0,Simbad,135.37999,3.0157
erass,J/A+A/661/A4/catalog,J/A+A/661/A4/catalog,10,eFEDS J083651.3+030002,197,129.21382,3.00064,3.505422,28.24691,3.19392,153.49612,747.97363,42.9467,0.630289,0.03619,5.94612e-13,3.41411e-14,747.8783,7.36848,1186.71533,T,0.0,0.196,0.0053,42.482,7.0224,1,129.21436,3.00041,0.19226,6,2.697306,0.395992,0.53536,7.1088,4.1918,0.0279,2,7.50218,3,0.0,0.106103,0.0,0.052589,0.0,0.108037,129.22809,2.99784,129.24046,3.0182,129.21436,3.00041,0.1504004,0.389033,0.4626234,0.140946,0.269811,99.900002,0.1652,0.158356,B1,0.0,0.19604,42.482027,7.022352,0.19604,0.52953,-0.1,42.482027,3.773028,-0.1,7.022352,4.163356,-0.1,0.0,0.75542,1.0,0.75542,0.006184,0.006184,1e+20,10.0,0.0,0.19169,67.373367,8.510459,0.005554,0.19169,0.53536,0.11152,67.373367,7.898634,2.23249,8.510459,4.657515,2.00409,0.005554,0.092401,0.012771,0.0,0.395992,0.50647,Simbad,129.21382,3.00064
