catalog,vizier_source,vizier_table,recno,ID,Name,RAJ2000,DEJ2000,zph,Nmem,zsp,RA_deg,Dec_deg
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,1,1,HSCJ015654-042426,29.226419,-4.407089,0.1341,40.549,1e+20,29.226419,-4.407089
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,2,2,HSCJ015703-043339,29.260597,-4.560916,0.738,20.869,1e+20,29.260597,-4.560916
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,3,3,HSCJ015712-055505,29.300512,-5.918173,0.1284,41.402,0.10017,29.300512,-5.918173
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,4,4,HSCJ015718-024935,29.326064,-2.826346,0.8587,17.179,1e+20,29.326064,-2.826346
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,5,5,HSCJ015719-022454,29.327552,-2.414974,0.23,20.893,1e+20,29.327552,-2.414974
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,6,6,HSCJ015721-024305,29.338623,-2.71818,0.1639,28.618,0.17243,29.338623,-2.71818
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,7,7,HSCJ015744-030450,29.434651,-3.080502,0.1698,16.158,1e+20,29.434651,-3.080502
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,8,8,HSCJ015745-050352,29.437347,-5.06433,0.3031,17.139,1e+20,29.437347,-5.06433
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,9,9,HSCJ015750-034338,29.458833,-3.727142,0.2252,32.863,0.22286,29.458833,-3.727142
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,10,10,HSCJ015754-040123,29.475616,-4.022962,0.562,19.178,0.54829,29.475616,-4.022962
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,11,11,HSCJ015801-024426,29.505327,-2.740444,0.72,19.22,1e+20,29.505327,-2.740444
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,12,12,HSCJ015837-052235,29.655466,-5.376521,0.8219,21.906,1e+20,29.655466,-5.376521
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,13,13,HSCJ015844-053842,29.684555,-5.645032,0.496,18.882,1e+20,29.684555,-5.645032
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,14,14,HSCJ015905-051056,29.769486,-5.182168,0.348,26.121,1e+20,29.769486,-5.182168
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,15,15,HSCJ015912-051746,29.79892,-5.296129,0.72,15.574,1e+20,29.79892,-5.296129
hsc_camira_s16a,J/PASJ/70/S20/table2n,J/PASJ/70/S20/table2n,16,16,HSCJ015913-032420,29.802653,-3.40546,0.5536,23.929,1e+20,29.802653,-3.40546
