catalog,vizier_source,vizier_table,recno,MACS,RAJ2000,DEJ2000,z,r_z,F606W,Arc,LX,M200,Simbad,NED,RA_deg,Dec_deg
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,1,J0035.4-2015,00 35 26.2,-20 15 44.2,1e+20,1,19.55,,1e+20,1e+20,Simbad,NED,8.859166666666667,-20.26227777777778
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,2,J0916.1-0023,09 16 11.5,-00 23 46.6,1e+20,1,1e+20,,1e+20,1e+20,Simbad,NED,139.04791666666665,-0.3962777777777778
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,3,J0140.0-0555,01 40 00.9,-05 55 02.0,1e+20,1,20.25,*,1e+20,1e+20,Simbad,NED,25.003749999999997,-5.917222222222223
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,4,J0140.0-3410,01 40 05.6,-34 10 39.7,1e+20,1,19.91,,1e+20,1e+20,Simbad,NED,25.023333333333326,-34.17769444444444
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,5,J0152.5-2852,01 52 34.4,-28 53 37.4,1e+20,1,20.32,,1e+20,1e+20,Simbad,NED,28.14333333333333,-28.893722222222223
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,6,J0451.9+0006,04 51 54.7,+00 06 17.3,0.43,2,20.16,*,1e+20,1e+20,Simbad,NED,72.97791666666664,0.10480555555555557
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,7,J0520.7-1328,05 20 42.0,-13 28 47.6,1e+20,1,19.29,*,1e+20,1e+20,Simbad,NED,80.17499999999998,-13.479888888888889
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,8,J0712.3+5931,07 12 20.4,+59 32 20.8,0.328,2,19.0,*,1e+20,1e+20,Simbad,NED,108.085,59.53911111111111
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,9,J0845.4+0327,08 45 27.8,+03 27 38.8,1e+20,1,19.26,,1e+20,1e+20,Simbad,NED,131.3658333333333,3.460777777777778
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,10,J0947.2+7623,09 47 13.2,+76 23 12.7,0.345,3,18.89,*,1e+20,1e+20,Simbad,NED,146.80499999999998,76.38686111111112
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,11,J0949.8+1708,09 49 51.8,+17 07 08.8,1e+20,1,19.81,*,1e+20,1e+20,Simbad,NED,147.4658333333333,17.11911111111111
macs,J/MNRAS/406/1318/macs,J/MNRAS/406/1318/macs,12,J1006.9+3200,10 06 54.7,+32 01 32.3,1e+20,1,19.36,,1e+20,1e+20,Simbad,NED,151.72791666666666,32.025638888888885
