catalog,vizier_source,vizier_table,recno,Name,RAJ2000,DEJ2000,Sep,Photz,E_Photz,e_Photz,Rich,e_Rich,RA_deg,Dec_deg
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1,MOO J0001+1428,00 01 09.75,+14 29 25.4,29,1.14,0.13,0.1,15,4,0.2906249999999999,14.490388888888887
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,2,MOO J0001-2533,00 01 54.22,-25 33 21.9,15,1.17,0.06,0.05,43,6,0.4759166666666666,-25.556083333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,3,MOO J0002+1751,00 02 27.93,+17 51 51.6,31,1.33,0.04,0.06,26,5,0.6163749999999999,17.864333333333335
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,4,MOO J0003-0903,00 03 01.49,-09 03 21.5,5,0.94,0.07,0.06,18,5,0.7562083333333333,-9.055972222222223
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,5,MOO J0003-2925,00 03 28.27,-29 26 07.2,9,1.05,0.1,0.1,22,5,0.8677916666666666,-29.43533333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,6,MOO J0003-1341,00 03 38.64,-13 41 54.4,43,0.85,0.06,0.05,32,6,0.911,-13.698444444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,7,MOO J0003-1341,00 03 38.64,-13 41 54.4,43,0.85,0.06,0.05,32,6,0.911,-13.698444444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,8,MOO J0005+1329,00 05 28.65,+13 29 28.0,4,0.94,0.08,0.08,34,6,1.3693749999999998,13.49111111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,9,MOO J0005+1408,00 05 37.17,+14 08 01.4,12,0.98,0.06,0.06,17,5,1.404875,14.133722222222222
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,10,MOO J0006+3050,00 06 26.82,+30 51 08.9,34,1.02,0.06,0.06,42,7,1.6117499999999998,30.852472222222225
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,11,MOO J0006+3050,00 06 26.82,+30 51 08.9,34,1.02,0.06,0.06,42,7,1.6117499999999998,30.852472222222225
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,12,MOO J0010+2027,00 10 19.65,+20 27 45.1,20,0.88,0.12,0.1,14,5,2.581875,20.462527777777776
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,13,MOO J0010+3142,00 10 44.67,+31 42 41.7,47,1e+20,1e+20,1e+20,16959,63,2.686125,31.711583333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,14,MOO J0010+3142,00 10 44.67,+31 42 41.7,47,1e+20,1e+20,1e+20,16959,63,2.686125,31.711583333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,15,MOO J0011-1414,00 11 15.25,-14 14 31.0,19,1.03,0.08,0.06,35,6,2.813541666666666,-14.241944444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,16,MOO J0012-0218,00 12 54.68,-02 18 23.2,13,1.19,0.08,0.07,35,6,3.2278333333333333,-2.3064444444444443
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,17,MOO J0013+0700,00 13 49.02,+07 00 42.5,16,1.09,0.07,0.07,33,6,3.45425,7.011805555555555
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,18,MOO J0013+0700,00 13 49.02,+07 00 42.5,16,1.09,0.07,0.07,33,6,3.45425,7.011805555555555
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,19,MOO J0014-0459,00 14 42.68,-04 59 19.1,33,1.02,0.04,0.04,32,6,3.677833333333333,-4.988638888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,20,MOO J0015+2822,00 15 07.63,+28 22 00.9,22,0.98,0.1,0.09,27,5,3.7817916666666656,28.36691666666667
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,21,MOO J0015-1357,00 15 17.83,-13 57 59.4,13,0.97,0.07,0.08,40,7,3.824291666666666,-13.9665
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,22,MOO J0015+0801,00 15 25.68,+08 01 06.0,37,0.9,0.04,0.04,58,8,3.8569999999999993,8.018333333333334
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,23,MOO J0015+1040,00 15 32.06,+10 40 16.3,6,0.96,0.04,0.05,31,6,3.8835833333333327,10.671194444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,24,MOO J0015+1040,00 15 32.06,+10 40 16.3,6,0.96,0.04,0.05,31,6,3.8835833333333327,10.671194444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,25,MOO J0015+1040,00 15 32.06,+10 40 16.3,6,0.96,0.04,0.05,31,6,3.8835833333333327,10.671194444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,26,MOO J0018-1451,00 18 41.23,-14 51 50.5,16,1.28,0.04,0.05,48,7,4.671791666666666,-14.864027777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,27,MOO J0018-1451,00 18 41.23,-14 51 50.5,16,1.28,0.04,0.05,48,7,4.671791666666666,-14.864027777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,28,MOO J0018+1156,00 19 00.90,+11 57 02.5,39,1.14,0.11,0.09,30,5,4.753749999999998,11.950694444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,29,MOO J0019-1909,00 19 05.98,-19 09 35.1,22,1.27,0.08,0.12,29,5,4.774916666666666,-19.15975
