catalog,vizier_source,vizier_table,recno,MOO2,m_MOO2,RAJ2000,DEJ2000,zphot,e_zphot,S_N,S_N-G,Name-fg,zspec,r_zspec,LitName,r_LitName,SimbadName,NED,RA_deg,Dec_deg
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,1,J00000+02569,,0.008,2.949,0.42,0.041,5.6,6.4,,1e+20,,,,,NED,0.00800000037997961,2.9489998817443848
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,2,J00000+02191,,0.013,2.319,0.46,0.042,7.0,8.4,,1e+20,,,,,NED,0.013000000268220901,2.319000005722046
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,3,J00000-00547,,0.018,-0.913,1.92,0.085,5.6,7.3,,1e+20,,,,,NED,0.017999999225139618,-0.9129999876022339
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,4,J00001+03229,,0.026,3.382,1.61,0.076,6.8,8.9,,1e+20,,,,,NED,0.026000000536441803,3.381999969482422
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,5,J00001+03517,,0.038,3.862,0.92,0.056,5.0,5.8,,1e+20,,,,,NED,0.03799999877810478,3.861999988555908
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,6,J00001+04501,,0.038,4.835,0.85,0.054,6.5,7.9,,1e+20,,,,,NED,0.03799999877810478,4.835000038146973
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,7,J00001-01365,,0.039,-1.609,0.98,0.057,5.1,6.0,,1e+20,,,,,NED,0.039000000804662704,-1.6089999675750732
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,8,J00001+04109,,0.046,4.182,0.605,0.047,5.8,6.8,,1e+20,,,,,NED,0.04600000008940697,4.182000160217285
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,9,J00001+02191,,0.047,2.319,0.67,0.048,6.1,7.2,,1e+20,,,,,NED,0.04699999839067459,2.319000005722046
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,10,J00002-01323,,0.049,-1.539,1.23,0.065,5.4,6.5,,1e+20,,,,,NED,0.04899999871850014,-1.5390000343322754
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,11,J00002-02119,,0.053,-2.199,0.46,0.042,6.9,8.4,,1e+20,,,,,NED,0.05299999937415123,-2.1989998817443848
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,12,J00002-02487,,0.061,-2.812,0.42,0.041,5.3,6.1,,1e+20,,,,,NED,0.061000000685453415,-2.812000036239624
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,13,J00002-00485,,0.071,-0.809,0.54,0.045,5.1,5.8,,1e+20,,,,,NED,0.07100000232458115,-0.8090000152587891
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,14,J00003-02477,,0.074,-2.795,1.55,0.074,5.0,6.2,,1e+20,,,,,NED,0.07400000095367432,-2.7950000762939453
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,15,J00004-01025,,0.115,-1.043,0.41,0.041,10.4,13.5,,0.439,2,ACT-CL J0000.4-0102,"2,12",ACT-CL J0000.4-0102,NED,0.11500000208616257,-1.0429999828338623
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,16,J00004+01063,,0.115,1.106,0.75,0.051,5.6,6.5,,1e+20,,,,,NED,0.11500000208616257,1.1059999465942383
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,17,J00005+00549,,0.141,0.916,0.61,0.047,6.9,8.4,,1e+20,,HSCJ000027+005457,14,HSCS J000027+005457,NED,0.14100000262260437,0.9160000085830688
