catalog,vizier_source,vizier_table,recno,Index,MCXC,OName,AName,RAJ2000,DEJ2000,GLON,GLAT,Cat,SubCat,z,zType,r_z,f_z,Scale,ERange,Rap,FX,e_FX,LX2L500,Lap,L500,e_L500,E_L500,R500,M500,e_M500,E_M500,Ovlp,Cat1,Cat2,Cat3,Cat4,L5001,e_L5001,E_L5001,L5002,e_L5002,E_L5002,L5003,e_L5003,E_L5003,L5004,e_L5004,E_L5004,NotesO,Notes,Index1,SimbadName,RA_deg,Dec_deg
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,1,0,MCXC J0000.1+0816,RXC J0000.1+0816,UGC 12890,0.0295,8.2744,101.7833,-52.4773,NORAS/REFLEX,NORAS,0.0396,S,2000ApJS..129..435B,Catalogue,0.7838,[0.1 2.4],13.5,5.39,0.66836,ITER,0.19464,0.2,0.02,0.02,0.6332,0.7497,0.06,0.06,BCS|RXGCC,BCS,RXGCC,,,0.21383999288082123,0.05587999895215034,0.05778999999165535,0.15770000219345093,0.022469999268651,0.022579999640584,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,1,RXC J0000.1+0816,0.0295,8.2744
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,2,1,MCXC J0000.4-0237,RXC J0000.4-0237,,0.1029,-2.625,94.2683,-62.6221,SGP,SGP,0.0379,S,1998AJ....116....1D,Catalogue,0.7517,[0.1 2.4],1e+20,1.74,0.35935,SC,1e+20,0.05,0.01,0.01,0.4894,0.3456,0.04,0.04,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,2,RXC J0000.4-0237,0.1029,-2.625
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,3,2,MCXC J0001.6-1540,RXC J0001.6-1540,,0.4125,-15.6811,75.1294,-73.7333,SGP,SGP,0.1246,S,2002ApJS..140..239C,Catalogue,2.2345,[0.1 2.4],1e+20,2.32,0.42,SC,1e+20,0.8,0.1,0.1,0.8069,1.6857,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,3,RXC J0001.6-1540,0.4125,-15.6811
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,4,3,MCXC J0001.9+1204,RXC J0001.9+1204,A2692,0.4877,12.073,104.3077,-49.001,NORAS/REFLEX,NORAS,0.2033,S,2000ApJS..129..435B,Catalogue,3.3421,[0.1 2.4],4.5,1.81,0.32399,ITER,1.98218,2.0,0.4,0.4,0.9212,2.7221,0.3,0.3,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,4,RXC J0001.9+1204,0.4877,12.073
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,5,4,MCXC J0002.5+0827,RXGCC 2,,0.641,8.451,102.8176,-52.5015,RXGCC,RXGCC,0.0961,SP,2022A&A...658A..59X,Catalogue,1.7803,[0.1 2.4],40.6,8.12062,1.30444,ITER,1.81131,2.0,0.3,0.3,0.9419,2.6061,0.3,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,0.641,8.451
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,6,5,MCXC J0003.1-0605,RXCJ0003.1-0605,A2697,0.7991,-6.086,92.1695,-66.0335,NORAS/REFLEX,REFLEX,0.232,S,2002ApJS..140..239C,Catalogue,3.6984,[0.1 2.4],7.5,4.497,0.55763,ITER,6.44614,6.0,0.8,0.8,1.1347,5.2469,0.4,0.4,SGP,SGP,,,,5.898009777069092,0.7216399908065796,0.7206000089645386,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,5,RXCJ0003.1-0605,0.7991,-6.086
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,7,6,MCXC J0003.2-3555,RXCJ0003.2-3555,A2717,0.8006,-35.9271,349.3298,-76.4898,NORAS/REFLEX,REFLEX,0.049,S,1996A&A...310....8K,Catalogue,0.9591,[0.1 2.4],10.0,7.537,1.34159,ITER,0.41942,0.4,0.08,0.08,0.7415,1.2148,0.1,0.1,SGP|RXGCC,SGP,RXGCC,,,0.39169999957084656,0.06928999722003937,0.06933999806642532,0.7564399838447571,0.0870800018310547,0.0871400013566017,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,losStr (see Table 12 of Reflex paper),,6,RXCJ0003.2-3555,0.8006,-35.9271
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,8,7,MCXC J0003.8+0203,RXCJ0003.8+0203,A2700,0.9607,2.0634,99.6101,-58.6365,NORAS/REFLEX,REFLEX,0.0924,S,2004A&A...425..367B,Catalogue,1.7191,[0.1 2.4],8.5,4.155,0.78114,ITER,0.85746,0.9,0.2,0.2,0.8264,1.7537,0.2,0.2,eBCS|SGP,EBCS,SGP,,,0.7916899919509888,0.2214899957180023,0.2273000031709671,0.7883599996566772,0.150110006332397,0.149690002202988,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,7,RXCJ0003.8+0203,0.9607,2.0634
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,9,8,MCXC J0004.9+1142,RXC J0004.9+1142,UGC 00032,1.2473,11.7006,105.2386,-49.5688,NORAS/REFLEX,NORAS,0.0761,S,2000ApJS..129..435B,Catalogue,1.4428,[0.1 2.4],8.0,3.68,0.46736,ITER,0.50714,0.5,0.07,0.07,0.7543,1.3122,0.1,0.1,eBCS,EBCS,,,,0.507070004940033,0.1498199999332428,0.1551499962806702,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,8,RXC J0004.9+1142,1.2473,11.7006
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,10,9,MCXC J0005.3+1612,RXC J0005.3+1612,A2703,1.344,16.2105,107.1332,-45.2436,NORAS/REFLEX,NORAS,0.1164,S,2000ApJS..129..435B,Catalogue,2.1069,[0.1 2.4],10.0,4.94,0.58292,ITER,1.64796,2.0,0.2,0.2,0.9237,2.5075,0.2,0.2,EMSS_1994|RXGCC,EMSS_1994,RXGCC,,,0.8711100220680237,0.08897999674081802,0.08837000280618668,1.527999997138977,0.18189999461174,0.182160004973412,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,Deblended source,,9,RXC J0005.3+1612,1.344,16.2105
