catalog,vizier_source,vizier_table,recno,RXC,Name,n_Name,RAJ2000,DEJ2000,z,CR,FX,FX_,Error,LX,NH,ID,r_z,RA_deg,Dec_deg
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,1,RXC J0000.1+0816,UGC 12890,,0.0295,8.2744,0.0396,0.26,5.8,5.39,12.4,0.37,5.9,,"1, 3",0.0295,8.2744
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,2,RXC J0001.9+1204,A2692,,0.4877,12.073,0.2033,0.08,1.82,1.81,17.9,3.24,5.1,,1,0.4877,12.073
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,3,RXC J0004.9+1142,UGC 00032,,1.2473,11.7006,0.0761,0.17,3.78,3.68,12.7,0.93,5.3,,"2, 4",1.2473,11.7006
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,4,RXC J0005.3+1612,A2703,,1.344,16.2105,0.1164,0.24,4.96,4.94,11.8,2.88,3.7,B,"2, 5",1.344,16.2105
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,5,RXC J0006.3+1052,,a,1.5906,10.8677,0.1698,0.15,3.28,3.28,19.3,4.05,5.6,,1,1.5906,10.8677
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,6,RXC J0011.7+3225,A0007,,2.935,32.417,0.1073,0.44,9.6,9.6,9.1,4.75,5.5,,"2, 3, 6",2.935,32.417
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,7,RXC J0016.7+0646,A0016,,4.1895,6.7736,0.0833,0.09,2.0,1.95,20.2,0.59,4.1,,"1, 6",4.1895,6.7736
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,8,RXC J0019.6+2517,,,4.9128,25.2908,0.1353,0.16,3.29,3.28,21.6,2.6,3.6,,1,4.9128,25.2908
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,9,RXC J0020.1+0005,,,5.0444,0.0917,0.2124,0.03,0.55,0.53,35.1,1.08,2.8,,1,5.0444,0.0917
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,10,RXC J0020.6+2840,A0021,,5.1705,28.6751,0.094,0.33,7.1,7.08,11.6,2.68,4.5,,"2, 6, 7",5.1705,28.6751
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,11,RXC J0021.5+2803,IV Zw 015,,5.3997,28.0513,0.0948,0.22,4.68,4.64,20.9,1.8,4.2,,1,5.3997,28.0513
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,12,RXC J0024.5+3312,,,6.1327,33.2087,0.226,0.11,2.33,2.33,18.4,5.1,5.3,,1,6.1327,33.2087
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,13,RXC J0027.8+2616,,,6.9573,26.2738,0.3668,0.11,2.3,2.31,20.1,12.93,3.9,,1,6.9573,26.2738
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,14,RXC J0039.6+2114,A0075,,9.9,21.239,0.0619,0.11,2.34,2.17,40.8,0.36,3.4,b,"2, 6",9.9,21.239
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,15,RXC J0040.4+2933,A0077,,10.114,29.5593,0.0712,0.38,8.26,8.19,9.8,1.8,5.3,,"2, 5",10.114,29.5593
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,16,RXC J0041.7+2124,A0084,,10.4462,21.414,0.1014,0.2,4.13,4.09,16.7,1.82,3.4,,"2, 6",10.4462,21.414
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,17,RXC J0058.9+2657,,b,14.7258,26.9507,0.0451,0.23,5.05,4.92,12.9,0.43,5.7,,"1, 41",14.7258,26.9507
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,18,RXC J0105.0+0201,IC 1613,,16.2595,2.0301,0.1967,0.13,2.64,2.64,15.4,4.38,2.8,,"2, 39",16.2595,2.0301
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,19,RXC J0106.8+0103,,,16.7094,1.0546,0.2537,0.15,3.16,3.18,13.6,8.65,3.2,C,1,16.7094,1.0546
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,20,RXC J0108.2+0210,A0147,,17.0533,2.18,0.0447,0.23,4.62,4.29,16.0,0.37,3.0,,"2, 6",17.0533,2.18
noras,J/ApJS/129/435/table1,J/ApJS/129/435/table1,21,RXC J0110.0+1358,A0152,,17.5229,13.9804,0.0581,0.06,1.26,0.95,29.5,0.14,3.9,,"2, 27",17.5229,13.9804
