,abell_aco,act_dr5_mcmf,act_hilton_2018,camira_sdss_dr8,hsc_camira_s16a,madcows,madcows2,mcxc,noras,planck_psz2,redmapper_dr8,reflex70,spt_ecs,spt_sz,whl2012,xcs_dr1
abell_aco,5524,383,16,1214,34,6,218,659,175,479,1176,273,0,55,2148,30
act_dr5_mcmf,401,6237,157,1716,101,75,943,260,47,389,1284,115,3,372,2551,29
act_hilton_2018,16,157,182,112,19,5,131,18,7,30,93,8,0,0,163,3
camira_sdss_dr8,1086,1636,107,71743,693,150,6560,465,172,393,20392,30,0,0,48185,162
hsc_camira_s16a,31,94,17,655,1777,6,1174,5,1,4,466,2,0,0,1045,23
madcows,6,53,3,129,6,1716,131,3,2,5,44,0,0,0,194,0
madcows2,178,762,103,5610,1050,119,22970,58,10,53,3163,20,0,0,8805,55
mcxc,697,260,18,492,5,5,74,1743,367,529,423,447,0,33,807,84
noras,175,48,7,186,1,3,11,373,378,167,169,10,0,0,300,5
planck_psz2,517,398,30,421,4,9,64,531,166,1653,354,214,0,92,642,13
redmapper_dr8,1121,1276,93,21301,519,64,3909,416,163,337,26111,29,0,0,30081,124
reflex70,304,116,8,32,2,0,24,449,10,214,29,447,0,30,67,5
spt_ecs,0,3,0,0,0,0,0,0,0,0,0,0,13,13,0,0
spt_sz,55,375,0,0,0,0,0,33,0,93,0,30,13,677,0,2
whl2012,1676,2029,132,40865,962,228,8959,665,238,507,23761,56,0,0,132684,247
xcs_dr1,28,29,3,158,24,0,59,82,5,13,114,5,0,2,290,503
