,abell_aco,act_dr5_mcmf,act_hilton_2018,camira_sdss_dr8,hsc_camira_s16a,madcows,madcows2,mcxc,noras,planck_psz2,redmapper_dr8,reflex70,spt_ecs,spt_sz,whl2012,xcs_dr1
abell_aco,1,0.0693338,0.00289645,0.219768,0.00615496,0.00108617,0.0394642,0.119298,0.0316799,0.0867125,0.212889,0.0494207,0,0.00995655,0.388849,0.00543085
act_dr5_mcmf,0.0642937,1,0.0251724,0.275132,0.0161937,0.012025,0.151194,0.0416867,0.00753567,0.0623697,0.205868,0.0184384,0.000481,0.0596441,0.409011,0.00464967
act_hilton_2018,0.0879121,0.862637,1,0.615385,0.104396,0.0274725,0.71978,0.0989011,0.0384615,0.164835,0.510989,0.043956,0,0,0.895604,0.0164835
camira_sdss_dr8,0.0151374,0.0228036,0.00149143,1,0.00965948,0.0020908,0.0914375,0.00648147,0.00239745,0.00547789,0.284237,0.000418159,0,0,0.671633,0.00225806
hsc_camira_s16a,0.0174451,0.0528981,0.00956669,0.368599,1,0.00337648,0.660664,0.00281373,0.000562746,0.00225098,0.26224,0.00112549,0,0,0.58807,0.0129432
madcows,0.0034965,0.0308858,0.00174825,0.0751748,0.0034965,1,0.0763403,0.00174825,0.0011655,0.00291375,0.025641,0,0,0,0.113054,0
madcows2,0.00774924,0.0331737,0.00448411,0.244232,0.0457118,0.00518067,1,0.00252503,0.00043535,0.00230736,0.137701,0.000870701,0,0,0.383326,0.00239443
mcxc,0.399885,0.149168,0.010327,0.282272,0.00286862,0.00286862,0.0424555,1,0.210557,0.3035,0.242685,0.256454,0,0.0189329,0.462995,0.0481928
noras,0.462963,0.126984,0.0185185,0.492063,0.0026455,0.00793651,0.0291005,0.986772,1,0.441799,0.44709,0.026455,0,0,0.793651,0.0132275
planck_psz2,0.312765,0.240774,0.0181488,0.254688,0.00241984,0.00544465,0.0387175,0.321234,0.100423,1,0.214156,0.129462,0,0.0556564,0.388385,0.00786449
redmapper_dr8,0.0429321,0.0488683,0.00356172,0.815786,0.0198767,0.00245107,0.149707,0.015932,0.00624258,0.0129064,1,0.00111064,0,0,1.15204,0.00474896
reflex70,0.680089,0.259508,0.0178971,0.0715884,0.00447427,0,0.0536913,1.00447,0.0223714,0.478747,0.064877,1,0,0.0671141,0.149888,0.0111857
spt_ecs,0,0.230769,0,0,0,0,0,0,0,0,0,0,1,1,0,0
spt_sz,0.0812408,0.553914,0,0,0,0,0,0.0487445,0,0.137371,0,0.0443131,0.0192024,1,0,0.00295421
whl2012,0.0126315,0.015292,0.000994845,0.307987,0.00725031,0.00171837,0.0675213,0.00501191,0.00179374,0.00382111,0.17908,0.000422055,0,0,1,0.00186157
xcs_dr1,0.055666,0.0576541,0.00596421,0.314115,0.0477137,0,0.117296,0.163022,0.00994036,0.0258449,0.22664,0.00994036,0,0.00397614,0.576541,1
