catalog,vizier_source,vizier_table,recno,Index,Name,GLON,GLAT,RAJ2000,DEJ2000,e_pos,SNR,Pipeline,PipeDet,PCCS2,PSZ,f_IR,q_neural,Y5R500,e_Y5R500,Val,zID,z,MSZ,E_MSZ,e_MSZ,MCXC,RedMAPPer,ACT,SPT,f_WISE,AMIevi,COSMO,Comment,Simbad,RA_deg,Dec_deg
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1,1,PSZ2 G000.04+45.13,0.0405432,45.135175,229.190512,-1.017222,4.10731,6.75319,2,111,0,1,0,0.938825,5.481591,1.8995,20,RXC J1516.5-0056,0.1198,3.962411,0.39329,0.370242,J1516.5-0056,RMJ151653.9-010506.3,,,-10,-1000.0,1,,Simbad,229.190512,-1.017222
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,2,2,PSZ2 G000.13+78.04,0.1380577,78.0421138,203.5586828,20.2559905,2.056201,9.25669,2,111,1,1227,0,0.93932,4.360847,1.84025,20,RXC J1334.1+2013,0.171,5.122391,0.351061,0.322839,J1334.1+2013,RMJ133408.7+201453.0,,,-10,-100.0,1,"Point sources at: 353GHz,",Simbad,203.5586828,20.2559905
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,3,3,PSZ2 G000.40-41.86,0.4029953,-41.8607926,316.0844846,-41.3541688,2.427383,9.70428,1,111,0,2,0,0.988699,4.507689,1.046871,21,RXCJ2104.3-4120,0.1651,5.297053,0.32035,0.344108,J2104.3-4120,,,,-10,-1000.0,1,,Simbad,316.0844846,-41.3541688
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,4,4,PSZ2 G000.77-35.69,0.7750496,-35.6993864,307.9728437,-40.5987254,2.343365,6.58179,2,111,0,3,0,0.985064,1.606287,0.516778,21,RXCJ2031.8-4037,0.3416,6.333562,0.58988,0.61133,J2031.8-4037,,,SPT-CLJ2031-4037,2,-1000.0,1,,Simbad,307.9728437,-40.5987254
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,5,5,PSZ2 G002.04-22.15,2.0457985,-22.1521656,291.3596104,-36.5179436,5.020757,5.12563,3,1,0,999999,0,0.399731,1.927779,0.644426,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-3,-1000.0,0,,Simbad,291.3596104,-36.5179436
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,6,6,PSZ2 G002.08-68.28,2.087016,-68.2815607,349.6324313,-36.332559,5.427269,4.7504,2,10,0,5,0,0.911077,3.12731,1.591322,20,ACO S 1109,0.14,2.835297,0.370542,0.463434,,,,,-10,-1000.0,0,"X-ray under-luminous,",Simbad,349.6324313,-36.332559
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,7,7,PSZ2 G002.42+69.64,2.4274678,69.6484581,210.9933174,15.6884267,2.428572,4.62169,1,100,0,999999,0,0.976674,2.68569,1.310455,24,RMJ140358.9+154409.6,0.180518,3.510401,0.465839,0.484462,,RMJ140358.9+154409.6,,,-10,-1000.0,0,"X-ray under-luminous,",Simbad,210.9933174,15.6884267
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,8,8,PSZ2 G002.77-56.16,2.7775114,-56.1683432,334.6594732,-38.8794056,2.279605,9.19606,2,111,0,6,0,0.97515,4.047786,1.028072,21,RXCJ2218.6-3853,0.1411,4.411132,0.29866,0.303283,J2218.6-3853,,,,-10,-1000.0,1,,Simbad,334.6594732,-38.8794056
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,9,9,PSZ2 G002.82+39.23,2.8277211,39.2388777,235.0151759,-3.2851353,2.428775,8.07308,1,111,0,7,0,0.952116,9.700967,2.637288,21,RXCJ1540.1-0318,0.1533,5.736017,0.475538,0.476516,J1540.1-0318,,,,-10,-1000.0,0,,Simbad,235.0151759,-3.2851353
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,10,10,PSZ2 G002.88-22.45,2.8827173,-22.455398,292.0147682,-35.8760934,7.238675,4.80061,3,1,1,999999,0,0.004082,1.942683,0.712163,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-3,-1000.0,0,"Point sources at: 545GHz,",Simbad,292.0147682,-35.8760934
