catalog,vizier_source,vizier_table,recno,RXC,Name,n_Name,RAJ2000,DEJ2000,z,Ngal,Flux,e_Flux,ObsLum,Aper,LumCor,NH,Notes,r_z,RA_deg,Dec_deg
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,1,J0003.1-0605,A2697,,00 03 11.8,-06 05 10,0.232,0,4.497,12.4,6.395,7.5,6.876,3.1,,139,0.7991666666666666,-6.086111111111111
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,2,J0003.2-3555,A2717,,00 03 12.1,-35 55 38,0.049,40,7.537,17.8,0.421,10.0,0.478,1.1,,2,0.8004166666666667,-35.92722222222222
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,3,J0003.8+0203,A2700,,00 03 50.6,+02 03 48,0.0924,9,4.155,18.8,0.855,8.5,0.929,3.0,,"S,10",0.9608333333333333,2.063333333333333
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,4,J0006.0-3443,A2721,,00 06 03.0,-34 43 27,0.1147,75,5.832,13.6,1.875,10.0,1.995,1.2,,1,1.5125,-34.72416666666667
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,5,J0011.3-2851,A2734,,00 11 20.7,-28 51 18,0.062,83,12.014,9.0,1.089,12.5,1.197,1.8,,2,2.8362499999999997,-28.855
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,6,J0013.6-1930,A0013,,00 13 38.3,-19 30 08,0.094,37,6.071,11.3,1.285,11.5,1.353,2.0,,"S,2,140,141",3.409583333333333,-19.502222222222223
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,7,J0014.3-6604,A2746,,00 14 18.4,-66 04 39,0.1599,5,4.485,13.8,2.907,7.5,3.16,2.8,X,E,3.5766666666666667,-66.0775
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,8,J0014.3-3023,A2744,,00 14 18.8,-30 23 00,0.3066,65,4.964,18.7,12.787,12.0,12.916,1.6,,"142,143",3.5783333333333327,-30.383333333333333
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,9,J0015.4-2350,,,00 15 24.0,-23 50 42,0.0645,4,3.426,18.3,0.336,11.5,0.354,2.5,X,33,3.849999999999999,-23.845
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,10,J0017.5-3509,A2755,,00 17 33.7,-35 09 54,0.0968,23,3.211,20.0,0.729,11.5,0.752,1.3,,"E,3,33,140,141",4.390416666666666,-35.165
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,11,J0020.7-2542,A0022,,00 20 42.8,-25 42 37,0.141,3,5.91,12.1,2.909,7.5,3.232,2.3,,1,5.178333333333333,-25.710277777777776
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,12,J0025.5-3302,S0041,,00 25 32.4,-33 02 50,0.0491,3,8.818,9.7,0.494,13.0,0.537,1.7,,"26,144",6.385,-33.04722222222222
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,13,J0027.3-5015,A2777,,00 27 21.3,-50 15 04,0.1448,1,4.286,17.1,2.247,8.5,2.39,1.7,,"E,145",6.838749999999999,-50.25111111111111
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,14,J0028.6-2338,A0042,,00 28 39.3,-23 38 14,0.112,5,4.836,13.3,1.491,13.0,1.521,1.8,,33,7.163749999999999,-23.63722222222222
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,15,J0034.6-0208,,,00 34 36.0,-02 08 24,0.0812,2,8.629,7.9,1.36,28.0,1.388,2.8,DL,"S,139",8.649999999999999,-2.14
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,16,J0040.1-5607,A2806,,00 40 06.5,-56 07 00,0.0277,20,4.068,19.3,0.071,13.5,0.077,2.2,,"12,18,146",10.02708333333333,-56.11666666666667
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,17,J0041.8-0918,A0085,,00 41 50.1,-09 18 07,0.0555,308,74.215,3.2,5.293,25.0,5.631,3.6,L,"130,148,149",10.458749999999998,-9.301944444444445
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,18,J0042.1-2832,A2811,,00 42 08.7,-28 32 09,0.1082,29,9.774,9.8,2.788,10.0,3.03,1.5,,"E,33,96",10.536249999999997,-28.535833333333336
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,19,J0043.4-2037,A2813,,00 43 24.4,-20 37 17,0.2924,7,3.186,15.6,7.387,8.5,7.615,1.5,,E,10.851666666666665,-20.62138888888889
reflex70,J/A+A/425/367/reflex70,J/A+A/425/367/reflex70,20,J0049.4-2931,S0084,,00 49 24.0,-29 31 28,0.1084,18,5.228,16.0,1.503,11.0,1.566,1.8,,"33,150",12.35,-29.524444444444445
