catalog,vizier_source,vizier_table,recno,SPT-CL,f_SPT-CL,RAJ2000,DEJ2000,xi,theta,YSZ,e_YSZ,f_z,z,n_z,e_z,M500c,e_M500c,M,Img,Notes,SCat,XCat,Simbad,RA_deg,Dec_deg
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,1,J0000-4356,,0.0663,-43.9494,5.92,0.25,76,21,,1.0,,0.11,3.27,0.71,,2,,0,0,Simbad,0.0663,-43.9494
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,2,J0000-5748,*,0.2499,-57.8064,8.49,0.5,82,12,,0.702,+,1e+20,4.56,0.8,,2,a,2,1,Simbad,0.2499,-57.8064
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,3,J0001-4842,,0.2768,-48.7132,5.69,1.25,77,12,,0.3,,0.04,3.96,0.87,,5,,0,0,Simbad,0.2768,-48.7132
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,4,J0001-4024,,0.361,-40.4108,5.42,0.75,59,12,,0.85,,0.07,3.12,0.75,,"2,10",,0,0,Simbad,0.361,-40.4108
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,5,J0001-6258,,0.4029,-62.9808,4.69,1.5,51,16,,0.21,,0.02,3.27,0.91,,3,"b,c",0,0,Simbad,0.4029,-62.9808
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,6,J0001-5440,,0.4059,-54.6697,5.69,1.0,60,12,,0.73,,0.06,3.54,0.79,,"1,10",,0,0,Simbad,0.4059,-54.6697
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,7,J0002-5557,,0.5138,-55.9621,5.2,0.25,54,18,,1.14,,0.08,2.47,0.6,,"3,10",,0,0,Simbad,0.5138,-55.9621
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,8,J0002-5224,,0.6433,-52.4092,4.67,1.0,48,12,>,0.71,,1e+20,1e+20,1e+20,,2,,0,0,Simbad,0.6433,-52.4092
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,9,J0003-4155,,0.7842,-41.9307,4.75,0.25,58,20,>,0.76,,1e+20,1e+20,1e+20,,3,,0,0,Simbad,0.7842,-41.9307
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,10,J0007-4706,,1.7514,-47.1159,4.55,0.75,58,13,,0.51,,0.04,2.95,0.85,,5,b,0,0,Simbad,1.7514,-47.1159
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,11,J0010-5112,,2.7408,-51.2077,4.51,0.25,54,12,,0.17,,0.02,3.25,0.94,M,7,"b,c",0,0,Simbad,2.7408,-51.2077
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,12,J0011-4614,,2.9779,-46.2351,5.12,0.75,63,17,,0.57,,0.04,3.3,0.85,,5,a,0,0,Simbad,2.9779,-46.2351
spt_sz,J/ApJS/216/27,J/ApJS/216/27/table4,13,J0012-5352,,3.0649,-53.8736,4.8,0.25,51,14,,0.33,,0.04,3.31,0.91,,5,b,0,0,Simbad,3.0649,-53.8736
