catalog,vizier_source,vizier_table,recno,SPT-CL,RAJ2000,DEJ2000,Xi,Thetac,z,e_z,M500c,E_M500c,e_M500c,lambda,e_lambda,Simbad,NED,RA_deg,Dec_deg
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,1,J2352-5846,358.051,-58.7758,5.18,0.75,0.167,0.006,3.86,0.67,0.77,23,6,Simbad,NED,358.051,-58.7758
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,2,J0013-5714,3.3029,-57.2373,5.11,1.5,0.63,0.01,3.7,0.67,0.76,29,3,Simbad,NED,3.3029,-57.2373
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,3,J2328-4616,352.0576,-46.2802,4.84,2.75,0.224,0.005,3.94,0.7,0.84,25,3,Simbad,NED,352.0576,-46.2802
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,4,J0048-4450,12.1743,-44.8475,4.82,0.5,0.595,0.009,3.55,0.61,0.77,55,5,Simbad,NED,12.1743,-44.8475
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,5,J2339-4058,354.7996,-40.9697,4.75,0.25,0.6,0.01,3.5,0.61,0.76,31,3,Simbad,NED,354.7996,-40.9697
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,6,J2136-5723,324.1203,-57.3968,4.72,1.0,0.284,0.007,3.65,0.63,0.78,42,3,Simbad,NED,324.1203,-57.3968
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,7,J2158-4851,329.5692,-48.8533,4.64,0.25,0.49,0.008,3.69,0.65,0.82,58,6,Simbad,NED,329.5692,-48.8533
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,8,J0501-4455,75.2932,-44.927,4.59,0.25,0.433,0.01,3.8,0.65,0.85,80,5,Simbad,NED,75.2932,-44.927
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,9,J0353-5312,58.3058,-53.2095,4.54,0.25,0.65,0.01,3.24,0.54,0.7,31,3,Simbad,NED,58.3058,-53.2095
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,10,J0323-4913,50.9166,-49.2215,4.54,0.5,0.37,0.01,3.51,0.59,0.77,29,3,Simbad,NED,50.9166,-49.2215
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,11,J0437-5307,69.2599,-53.1206,4.52,0.25,0.301,0.007,3.54,0.6,0.79,38,3,Simbad,NED,69.2599,-53.1206
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,12,J0500-4551,75.2108,-45.8564,4.51,0.75,0.242,0.005,3.96,0.68,0.88,38,4,Simbad,NED,75.2108,-45.8564
spt_ecs,J/ApJS/247/25,J/ApJS/247/25/table10,13,J0250-4714,42.6656,-47.2385,4.5,1.25,0.475,0.008,3.5,0.57,0.77,39,3,Simbad,NED,42.6656,-47.2385
