catalog,vizier_source,vizier_table,recno,XMMXCS,Name,RAJ2000,DEJ2000,Counts,z,r_z,n_z,TX,e_TX,E_TX,OName,n_zoo,zoo,L500,e_L500,E_L500,R500,e_R500,E_R500,L200,e_L200,E_L200,R200,e_R200,E_R200,Simbad,RA_deg,Dec_deg
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,1,J000013.9-251052.1,J0000.2-2510,0.057917,-25.181139,877.6,0.08,Lit,spec,1.8,0.2,0.4,APMCC 948,NXS,g,0.066,0.009,0.017,566,28,73,0.096,0.015,0.032,858,43,111,Simbad,0.057917,-25.181139
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,2,J000029.8-251211.4,J0000.4-2512,0.124167,-25.203167,651.6,0.15,NXS,phot,0.81,0.05,0.04,,NXS,s,0.06,0.021,0.041,343,11,10,0.075,0.036,0.131,520,16,15,Simbad,0.124167,-25.203167
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,3,J000103.8-250353.6,J0001.0-2503,0.265833,-25.064889,362.4,0.91,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,0.265833,-25.064889
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,4,J000141.4-154031.3,J0001.6-1540,0.4225,-15.675361,1134.9,0.12,Lit,spec,1.8,0.1,0.3,RXC J0001.6-1540,dss,na,0.177,1e+20,1e+20,561,16,55,0.167,1e+20,1e+20,561,16,55,Simbad,0.4225,-15.675361
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,5,J000626.2+195944.2,J0006.4+1959,1.609167,19.995611,117.7,0.46,NXS,phot,1e+20,1e+20,1e+20,,NXS,g,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,1.609167,19.995611
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,6,J001116.1+005211.3,J0011.2+0052,2.817083,0.869806,155.3,0.36,S82,phot,0.7,0.1,0.1,,S82,s,0.035,0.027,0.016,259,13,23,0.073,0.059,0.032,393,20,35,Simbad,2.817083,0.869806
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,7,J001328.5-272319.0,J0013.4-2723,3.36875,-27.388611,484.3,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,3.36875,-27.388611
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,8,J001345.2-271654.8,J0013.7-2716,3.438333,-27.281889,163.9,1e+20,NXS,phot,1e+20,1e+20,1e+20,,NXS,s,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,3.438333,-27.281889
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,9,J001639.1-010211.5,J0016.6-0102,4.162917,-1.036528,402.7,0.17,S82,phot,1.7,0.4,1.5,MaxBCG J004.16184-01.03538,S82,s,0.084,0.068,0.148,506,81,225,0.108,0.092,0.295,768,123,342,Simbad,4.162917,-1.036528
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,10,J001737.4-005235.4,J0017.6-0052,4.405833,-0.8765,12103.1,0.21,LRG,spec,4.8,0.3,0.3,MaxBCG J004.40671-00.87833,S82,g,2.461,0.164,0.165,889,27,33,2.796,0.219,0.226,1348,41,50,Simbad,4.405833,-0.8765
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,11,J002039.7-020440.2,J0020.6-0204,5.165417,-2.077833,65.4,0.27,Lit,phot,1e+20,1e+20,1e+20,NSCS J002042-020334,dss,na,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,5.165417,-2.077833
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,12,J002314.1+001201.5,J0023.2+0012,5.80875,0.200417,302.2,0.27,S82,phot,1e+20,1e+20,1e+20,SDSS CE J005.801610+00.197059,S82,g,1e+20,1e+20,1e+20,999999,16959,999999,1e+20,1e+20,1e+20,999999,16959,999999,Simbad,5.80875,0.200417
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,13,J002650.0+171931.3,J0026.8+1719,6.708333,17.325361,354.7,0.49,Lit,spec,3.3,0.6,0.9,CXOMP J002649.9+171933,dss,na,0.683,0.077,0.116,539,61,74,1.296,0.334,0.385,818,93,113,Simbad,6.708333,17.325361
