catalog,vizier_source,vizier_table,recno,XLSSC,RAJ2000,DEJ2000,z,Ngal,Class,Mgas500kpc,E_Mgas500kpc,e_Mgas500kpc,r500MT,T300kpc,E_T300kpc,e_T300kpc,LXXL500MT,e_LXXL500MT,F60,e_F60,Flags,RA_deg,Dec_deg
xxl,IX/52/xxl365gc,IX/52/xxl365gc,1,199,30.192,-6.708,0.339,2,1,72.59,3.83,5.12,644,2.06,0.28,0.2,31.92,2.97,67,5,l,30.191999435424805,-6.708000183105469
xxl,IX/52/xxl365gc,IX/52/xxl365gc,2,200,30.331,-6.83,0.333,2,1,48.04,2.51,2.92,653,2.1,0.3,0.21,16.27,1.7,31,3,l,30.33099937438965,-6.829999923706055
xxl,IX/52/xxl365gc,IX/52/xxl365gc,3,114,30.425,-5.031,0.234,6,2,39.86,2.84,2.76,16959,1e+20,1e+20,1e+20,1e+20,1e+20,35,8,l,30.424999237060547,-5.031000137329102
xxl,IX/52/xxl365gc,IX/52/xxl365gc,4,179,30.482,-6.574,0.608,5,1,42.83,10.47,11.31,16959,1e+20,1e+20,1e+20,1e+20,1e+20,14,4,l,30.48200035095215,-6.573999881744385
xxl,IX/52/xxl365gc,IX/52/xxl365gc,5,113,30.561,-7.009,0.05,9,1,8.4,0.42,0.36,16959,1e+20,1e+20,1e+20,1e+20,1e+20,115,8,l,30.56100082397461,-7.008999824523926
xxl,IX/52/xxl365gc,IX/52/xxl365gc,6,174,30.592,-5.899,0.235,8,1,40.93,2.99,3.61,570,1.5,0.09,0.09,7.82,0.54,25,4,l,30.591999053955078,-5.89900016784668
xxl,IX/52/xxl365gc,IX/52/xxl365gc,7,94,30.648,-6.732,0.886,3,1,106.46,11.09,11.04,581,3.01,0.58,0.5,223.57,31.58,48,5,+l,30.648000717163086,-6.73199987411499
xxl,IX/52/xxl365gc,IX/52/xxl365gc,8,196,30.728,-7.652,0.136,8,1,26.23,1.78,2.19,563,1.34,0.17,0.08,4.2,0.5,32,4,l,30.72800064086914,-7.6519999504089355
xxl,IX/52/xxl365gc,IX/52/xxl365gc,9,178,30.753,-6.285,0.194,2,2,29.5,2.5,4.05,655,0.81,0.05,0.05,2.6,0.17,17,3,l,30.753000259399414,-6.284999847412109
xxl,IX/52/xxl365gc,IX/52/xxl365gc,10,156,30.766,-7.101,0.336,4,2,33.37,2.91,2.92,16959,1e+20,1e+20,1e+20,1e+20,1e+20,28,4,l,30.766000747680664,-7.10099983215332
xxl,IX/52/xxl365gc,IX/52/xxl365gc,11,157,30.865,-6.929,0.585,5,1,69.87,6.04,6.48,721,3.24,0.64,0.74,42.22,6.91,19,3,l,30.864999771118164,-6.928999900817871
xxl,IX/52/xxl365gc,IX/52/xxl365gc,12,197,30.923,-7.785,0.439,2,1,106.9,4.67,4.88,755,3.03,0.42,0.37,76.04,8.13,97,7,l,30.92300033569336,-7.784999847412109
xxl,IX/52/xxl365gc,IX/52/xxl365gc,13,96,30.973,-5.027,0.52,6,1,89.0,4.59,4.74,951,4.98,0.5,0.86,62.58,7.8,36,4,+*l,30.972999572753906,-5.0269999504089355
xxl,IX/52/xxl365gc,IX/52/xxl365gc,14,155,31.134,-6.748,0.433,2,1,35.94,3.97,4.06,576,1.85,0.29,0.24,16.2,2.15,23,3,l,31.134000778198242,-6.748000144958496
xxl,IX/52/xxl365gc,IX/52/xxl365gc,15,173,31.251,-5.931,0.413,3,1,46.89,3.73,4.0,930,4.29,0.26,0.22,16.87,1.07,24,3,l,31.250999450683594,-5.931000232696533
xxl,IX/52/xxl365gc,IX/52/xxl365gc,16,177,31.29,-4.918,0.211,7,2,36.78,2.31,2.68,16959,1e+20,1e+20,1e+20,1e+20,1e+20,22,4,l,31.290000915527344,-4.918000221252441
xxl,IX/52/xxl365gc,IX/52/xxl365gc,17,102,31.322,-4.652,0.969,3,1,138.48,6.6,6.4,638,3.87,0.81,0.76,166.36,24.34,42,4,+l,31.32200050354004,-4.6519999504089355
xxl,IX/52/xxl365gc,IX/52/xxl365gc,18,106,31.351,-5.732,0.3,14,1,82.7,2.32,2.34,777,2.78,0.2,0.17,42.67,2.29,91,4,+l,31.35099983215332,-5.73199987411499
xxl,IX/52/xxl365gc,IX/52/xxl365gc,19,107,31.354,-7.594,0.436,3,1,66.76,3.88,4.27,672,2.45,0.37,0.34,49.01,5.04,56,5,+l,31.354000091552734,-7.593999862670898
xxl,IX/52/xxl365gc,IX/52/xxl365gc,20,160,31.521,-5.194,0.817,4,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,6,4,,31.520999908447266,-5.193999767303467
xxl,IX/52/xxl365gc,IX/52/xxl365gc,21,100,31.549,-6.193,0.915,6,1,133.76,4.47,4.46,808,5.6,0.51,0.43,139.92,12.35,36,6,+l,31.548999786376953,-6.192999839782715
xxl,IX/52/xxl365gc,IX/52/xxl365gc,22,172,31.571,-5.893,0.426,2,2,26.91,7.48,11.62,16959,1e+20,1e+20,1e+20,1e+20,1e+20,12,3,,31.570999145507812,-5.89300012588501
xxl,IX/52/xxl365gc,IX/52/xxl365gc,23,175,31.649,-7.568,0.293,2,2,1e+20,1e+20,1e+20,994,1.82,0.11,0.12,6.62,0.41,11,4,,31.64900016784668,-7.567999839782715
xxl,IX/52/xxl365gc,IX/52/xxl365gc,24,93,31.699,-6.948,0.429,6,1,100.75,2.66,2.81,795,3.29,0.49,0.48,63.19,6.59,72,5,+l,31.698999404907227,-6.947999954223633
xxl,IX/52/xxl365gc,IX/52/xxl365gc,25,108,31.832,-4.827,0.254,4,1,42.96,2.09,2.1,723,2.34,0.31,0.24,20.64,1.93,62,4,+l,31.832000732421875,-4.827000141143799
xxl,IX/52/xxl365gc,IX/52/xxl365gc,26,95,31.962,-5.206,0.138,12,1,7.09,2.1,3.57,452,0.9,0.09,0.08,1.89,0.25,31,4,+l,31.961999893188477,-5.205999851226807
