catalog,vizier_source,vizier_table,recno,Zwicky,RA1950,DE1950,Type,GalCnt,Diam,DistGroup,GLON,GLAT,RLamb,XLamb,YLamb,SGLON,SGLAT,ClusRad,ClusArea,Pop,_RA.icrs,_DE.icrs,RA_deg,Dec_deg
zwicky,VII/4A/zwicky,VII/4A/zwicky,1,1,00 00.1,+08 06,2,88,3.6,3,102.82,-52.58,-0.6416,0.6256,-0.1424,301.17,14.78,0.34,0.354,248,00 02 39.8,+08 22 42,0.6658333333333333,8.378333333333334
zwicky,VII/4A/zwicky,VII/4A/zwicky,2,2,00 00.4,+19 31,2,121,6.4,3,107.61,-41.63,-0.8194,0.781,-0.2479,312.78,17.2,0.6,1.119,108,00 02 57.9,+19 47 42,0.7412499999999999,19.795
zwicky,VII/4A/zwicky,VII/4A/zwicky,3,3,00 00.8,+04 52,1,157,12.1,1,101.34,-55.7,-0.5898,0.5783,-0.116,297.99,13.8,1.13,4.001,39,00 03 21.8,+05 08 42,0.8408333333333333,5.1450000000000005
zwicky,VII/4A/zwicky,VII/4A/zwicky,4,4,00 00.9,+04 17,2,84,4.3,3,101.04,-56.26,-0.5805,0.5697,-0.1111,297.41,13.62,0.4,0.505,166,00 03 27.8,+04 33 42,0.8658333333333332,4.5616666666666665
zwicky,VII/4A/zwicky,VII/4A/zwicky,5,5,00 01.1,+00 30,1,117,5.6,3,98.63,-59.82,-0.5207,0.5148,-0.0781,293.69,12.56,0.52,0.857,136,00 03 39.8,+00 46 42,0.9158333333333333,0.7783333333333334
zwicky,VII/4A/zwicky,VII/4A/zwicky,6,6,00 01.2,+01 40,1,135,5.1,2,99.49,-58.74,-0.5388,0.5315,-0.0889,294.84,12.86,0.48,0.711,189,00 03 45.8,+01 56 42,0.9408333333333332,1.945
zwicky,VII/4A/zwicky,VII/4A/zwicky,7,7,00 01.3,+32 30,2,37,0.9,5,111.5,-29.04,-1.0145,0.9439,-0.3719,326.31,19.01,0.08,0.022,1671,00 03 52.2,+32 46 42,0.9674999999999999,32.77833333333333
zwicky,VII/4A/zwicky,VII/4A/zwicky,8,8,00 01.7,+27 46,2,65,2.0,5,110.41,-33.68,-0.9439,0.8846,-0.3292,321.37,18.3,0.19,0.109,594,00 04 16.2,+28 02 42,1.0675,28.045
zwicky,VII/4A/zwicky,VII/4A/zwicky,9,9,00 01.9,+23 51,2,35,1.1,5,109.39,-37.51,-0.8845,0.8343,-0.2937,317.31,17.63,0.1,0.033,1058,00 04 28.2,+24 07 42,1.1174999999999997,24.128333333333334
zwicky,VII/4A/zwicky,VII/4A/zwicky,10,10,00 02.0,+18 20,1,54,3.7,4,107.71,-42.87,-0.7996,0.7617,-0.2432,311.65,16.59,0.35,0.374,144,00 04 34.1,+18 36 42,1.1420833333333333,18.611666666666668
zwicky,VII/4A/zwicky,VII/4A/zwicky,11,11,00 02.4,+07 44,1,177,14.0,1,103.53,-53.1,-0.6329,0.6154,-0.1481,300.95,14.14,1.31,5.356,33,00 04 57.9,+08 00 42,1.2412499999999997,8.011666666666667
zwicky,VII/4A/zwicky,VII/4A/zwicky,12,12,00 03.0,+20 08,2,86,2.0,5,108.6,-41.18,-0.8265,0.7834,-0.2636,313.54,16.71,0.19,0.109,786,00 05 34.2,+20 24 42,1.3924999999999996,20.411666666666665
zwicky,VII/4A/zwicky,VII/4A/zwicky,13,13,00 03.1,+11 14,2,119,4.4,4,105.4,-49.8,-0.6874,0.6627,-0.1826,304.5,14.81,0.41,0.529,224,00 05 40.0,+11 30 42,1.4166666666666665,11.511666666666667
zwicky,VII/4A/zwicky,VII/4A/zwicky,14,14,00 03.2,+24 10,3,33,1.1,5,109.85,-37.26,-0.8883,0.8355,-0.3016,317.7,17.39,0.1,0.033,998,00 05 46.4,+24 26 42,1.4433333333333331,24.445
zwicky,VII/4A/zwicky,VII/4A/zwicky,15,15,00 03.4,+10 35,3,57,1.4,5,105.24,-50.44,-0.6768,0.653,-0.1779,303.87,14.58,0.13,0.054,1064,00 05 58.0,+10 51 42,1.4916666666666665,10.861666666666666
zwicky,VII/4A/zwicky,VII/4A/zwicky,16,16,00 03.6,+13 31,2,63,2.3,4,106.51,-47.63,-0.7228,0.693,-0.2053,306.83,15.2,0.21,0.145,435,00 06 10.1,+13 47 42,1.5420833333333333,13.795
zwicky,VII/4A/zwicky,VII/4A/zwicky,17,17,00 03.6,+32 50,1,135,6.5,2,112.12,-28.81,-1.018,0.943,-0.3833,326.72,18.57,0.61,1.155,116,00 06 10.7,+33 06 42,1.5445833333333332,33.111666666666665
zwicky,VII/4A/zwicky,VII/4A/zwicky,18,18,00 03.7,+26 08,3,60,1.6,5,110.51,-35.37,-0.9178,0.8596,-0.3216,319.75,17.61,0.15,0.07,857,00 06 16.5,+26 24 42,1.5687499999999999,26.411666666666665
zwicky,VII/4A/zwicky,VII/4A/zwicky,19,19,00 04.0,+24 46,2,95,2.7,5,110.23,-36.72,-0.8968,0.8415,-0.3101,318.35,17.31,0.25,0.199,476,00 06 34.5,+25 02 42,1.6437499999999998,25.045
zwicky,VII/4A/zwicky,VII/4A/zwicky,20,20,00 04.2,+15 16,1,171,7.2,3,107.36,-45.97,-0.7497,0.7155,-0.2237,308.64,15.45,0.67,1.417,120,00 06 46.2,+15 32 42,1.6925,15.545
zwicky,VII/4A/zwicky,VII/4A/zwicky,21,21,00 04.7,-02 16,1,115,7.0,2,98.24,-62.72,-0.4716,0.4667,-0.0676,291.23,10.93,0.65,1.339,85,00 07 15.7,-01 59 18,1.8154166666666665,-1.9883333333333333
zwicky,VII/4A/zwicky,VII/4A/zwicky,22,22,00 04.8,+16 09,2,70,3.5,4,107.87,-45.15,-0.7629,0.7261,-0.2341,309.57,15.49,0.33,0.335,209,00 07 22.3,+16 25 42,1.8429166666666665,16.428333333333335
zwicky,VII/4A/zwicky,VII/4A/zwicky,23,23,00 04.8,+23 04,2,57,1.8,5,109.99,-38.42,-0.8702,0.8177,-0.2975,316.63,16.84,0.17,0.089,643,00 07 22.5,+23 20 42,1.84375,23.345
zwicky,VII/4A/zwicky,VII/4A/zwicky,24,24,00 05.0,+01 58,2,67,1.6,5,101.41,-58.78,-0.5382,0.5275,-0.1065,295.4,12.03,0.15,0.07,957,00 07 33.8,+02 14 42,1.8908333333333331,2.245
zwicky,VII/4A/zwicky,VII/4A/zwicky,25,25,00 05.0,+10 03,1,117,4.0,4,105.61,-51.06,-0.6666,0.642,-0.1793,303.43,14.07,0.37,0.437,267,00 07 34.1,+10 19 42,1.8920833333333331,10.328333333333333
zwicky,VII/4A/zwicky,VII/4A/zwicky,26,26,00 05.0,+14 22,2,103,2.3,4,107.31,-46.89,-0.7348,0.7015,-0.2186,307.77,15.06,0.21,0.145,712,00 07 34.2,+14 38 42,1.8924999999999998,14.645
zwicky,VII/4A/zwicky,VII/4A/zwicky,27,27,00 05.3,+13 07,2,58,3.2,4,106.95,-48.12,-0.7148,0.6837,-0.2084,306.53,14.71,0.3,0.28,207,00 07 52.2,+13 23 42,1.9675,13.395
zwicky,VII/4A/zwicky,VII/4A/zwicky,28,28,00 06.4,+40 50,2,64,3.3,4,114.38,-21.05,-1.132,1.0311,-0.4673,335.19,18.83,0.31,0.298,215,00 08 59.7,+41 06 41,2.24875,41.11138888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,29,29,00 06.8,+03 50,2,104,4.4,2,103.32,-57.15,-0.5655,0.5503,-0.1303,297.36,12.09,0.41,0.529,196,00 09 21.9,+04 06 42,2.3412499999999996,4.111666666666666
zwicky,VII/4A/zwicky,VII/4A/zwicky,30,30,00 06.8,+23 57,2,65,1.0,5,110.8,-37.65,-0.8822,0.8247,-0.3133,317.62,16.54,0.09,0.027,2378,00 09 22.8,+24 13 42,2.3449999999999998,24.22833333333333
zwicky,VII/4A/zwicky,VII/4A/zwicky,31,31,00 06.8,+34 01,3,72,1.3,5,113.12,-27.77,-1.0334,0.9504,-0.4058,328.05,18.05,0.12,0.046,1559,00 09 23.4,+34 17 41,2.3474999999999997,34.29472222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,32,32,00 06.9,+09 31,1,93,2.4,4,106.1,-51.7,-0.6561,0.6303,-0.182,303.01,13.5,0.22,0.157,590,00 09 28.2,+09 47 42,2.3674999999999997,9.795
zwicky,VII/4A/zwicky,VII/4A/zwicky,33,33,00 07.1,+14 35,1,63,2.8,5,108.1,-46.8,-0.7362,0.6997,-0.2288,308.11,14.62,0.26,0.214,294,00 09 40.4,+14 51 42,2.418333333333333,14.861666666666666
zwicky,VII/4A/zwicky,VII/4A/zwicky,34,34,00 07.2,+12 17,2,129,4.8,4,107.31,-49.04,-0.6997,0.668,-0.2082,305.8,14.08,0.45,0.63,204,00 09 46.3,+12 33 42,2.442916666666666,12.561666666666667
zwicky,VII/4A/zwicky,VII/4A/zwicky,35,35,00 07.3,+01 56,1,74,2.9,4,102.45,-59.0,-0.5345,0.522,-0.1152,295.52,11.46,0.27,0.23,322,00 09 51.9,+02 12 42,2.4662499999999996,2.211666666666667
zwicky,VII/4A/zwicky,VII/4A/zwicky,36,36,00 07.3,+06 08,3,37,0.6,5,104.73,-54.98,-0.6017,0.5819,-0.153,299.68,12.56,0.06,0.01,3761,00 09 52.0,+06 24 42,2.4666666666666663,6.411666666666667
zwicky,VII/4A/zwicky,VII/4A/zwicky,37,37,00 07.4,+32 54,2,86,3.8,3,113.03,-28.9,-1.0166,0.9356,-0.3977,326.9,17.78,0.35,0.395,217,00 09 59.4,+33 10 41,2.4974999999999996,33.17805555555555
zwicky,VII/4A/zwicky,VII/4A/zwicky,38,38,00 07.7,+10 56,2,142,7.4,3,106.98,-50.38,-0.6778,0.6482,-0.1979,304.47,13.64,0.69,1.496,94,00 10 16.3,+11 12 41,2.567916666666666,11.211388888888887
zwicky,VII/4A/zwicky,VII/4A/zwicky,39,39,00 07.7,+17 25,3,88,2.7,5,109.23,-44.08,-0.7802,0.7367,-0.2569,311.0,15.08,0.25,0.199,441,00 10 16.6,+17 41 41,2.5691666666666664,17.69472222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,40,40,00 07.8,+33 48,1,105,4.7,4,113.31,-28.03,-1.0297,0.9457,-0.4075,327.84,17.82,0.44,0.604,173,00 10 23.5,+34 04 41,2.597916666666666,34.07805555555556
zwicky,VII/4A/zwicky,VII/4A/zwicky,41,41,00 07.9,+08 59,1,81,2.5,5,106.26,-52.28,-0.6465,0.6207,-0.1811,302.54,13.13,0.23,0.171,474,00 10 28.2,+09 15 41,2.6174999999999997,9.261388888888888
zwicky,VII/4A/zwicky,VII/4A/zwicky,42,42,00 08.0,+31 13,2,104,2.2,4,112.82,-30.57,-0.9913,0.9137,-0.3845,325.17,17.43,0.21,0.132,786,00 10 35.4,+31 29 41,2.6474999999999995,31.494722222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,43,43,00 08.0,+33 51,2,77,1.4,5,113.37,-27.98,-1.0303,0.9458,-0.4086,327.91,17.78,0.13,0.054,1437,00 10 35.6,+34 07 41,2.648333333333333,34.128055555555555
zwicky,VII/4A/zwicky,VII/4A/zwicky,44,44,00 08.4,+06 08,3,55,1.2,5,105.19,-55.06,-0.6004,0.5795,-0.1573,299.74,12.29,0.11,0.039,1397,00 10 58.1,+06 24 41,2.742083333333333,6.411388888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,45,45,00 08.4,+28 51,3,80,2.0,5,112.4,-32.92,-0.9556,0.8835,-0.3642,322.72,17.0,0.19,0.109,731,00 10 59.3,+29 07 41,2.747083333333333,29.128055555555555
zwicky,VII/4A/zwicky,VII/4A/zwicky,46,46,00 08.6,+14 58,2,60,1.5,5,108.75,-46.52,-0.7409,0.7016,-0.2381,308.57,14.34,0.14,0.061,975,00 11 10.5,+15 14 41,2.7937499999999997,15.24472222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,47,47,00 08.8,+52 15,2,82,3.3,2,116.77,-9.86,-1.2874,1.1494,-0.5799,347.27,19.01,0.31,0.298,275,00 11 25.6,+52 31 41,2.8566666666666665,52.528055555555554
zwicky,VII/4A/zwicky,VII/4A/zwicky,48,48,00 08.9,+32 07,3,100,3.7,4,113.23,-29.72,-1.0042,0.9228,-0.396,326.13,17.36,0.35,0.374,267,00 11 29.6,+32 23 41,2.8733333333333326,32.39472222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,49,49,00 09.1,+50 40,2,86,3.4,3,116.57,-11.44,-1.2663,1.1326,-0.5664,345.59,18.91,0.32,0.316,272,00 11 43.5,+50 56 41,2.9312499999999995,50.94472222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,50,50,00 09.3,+02 53,1,66,1.5,5,103.91,-58.24,-0.5472,0.5312,-0.1316,296.6,11.24,0.14,0.061,1073,00 11 51.9,+03 09 41,2.966249999999999,3.161388888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,51,51,00 09.5,+23 49,2,45,1.1,5,111.53,-37.9,-0.8782,0.817,-0.3223,317.6,15.92,0.1,0.033,1360,00 12 05.2,+24 05 41,3.0216666666666665,24.09472222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,52,52,00 09.6,+09 10,3,87,2.2,5,107.0,-52.21,-0.6477,0.6194,-0.1894,302.82,12.76,0.21,0.132,657,00 12 10.3,+09 26 41,3.0429166666666667,9.444722222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,53,53,00 09.8,+19 13,2,67,3.2,3,110.42,-42.43,-0.8067,0.756,-0.2815,312.92,14.96,0.3,0.28,239,00 12 22.9,+19 29 41,3.0954166666666665,19.494722222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,54,54,00 10.0,-01 54,3,100,2.0,5,101.23,-62.84,-0.4695,0.4605,-0.0915,291.97,9.77,0.19,0.109,914,00 12 33.7,-01 37 19,3.1404166666666664,-1.6219444444444444
zwicky,VII/4A/zwicky,VII/4A/zwicky,55,55,00 10.2,+00 02,2,96,2.0,5,102.64,-61.03,-0.5003,0.4882,-0.1095,293.86,10.25,0.19,0.109,878,00 12 45.8,+00 18 41,3.190833333333333,0.3113888888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,56,56,00 10.8,+02 31,3,35,0.6,5,104.39,-58.7,-0.5395,0.5226,-0.1341,296.34,10.78,0.06,0.01,3557,00 13 21.9,+02 47 41,3.3412499999999996,2.794722222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,57,57,00 10.9,+34 57,2,90,1.8,5,114.24,-27.0,-1.045,0.9528,-0.4291,329.13,17.33,0.17,0.089,1016,00 13 30.3,+35 13 41,3.3762499999999998,35.22805555555556
zwicky,VII/4A/zwicky,VII/4A/zwicky,58,58,00 11.6,+10 17,2,103,3.7,5,108.21,-51.24,-0.6636,0.6304,-0.2073,304.06,12.55,0.35,0.374,275,00 14 10.5,+10 33 41,3.5437499999999997,10.561388888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,59,59,00 11.6,+28 28,2,86,2.6,5,113.15,-33.42,-0.9479,0.8716,-0.3726,322.45,16.24,0.24,0.185,465,00 14 11.8,+28 44 41,3.5491666666666664,28.744722222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,60,60,00 11.6,+35 12,3,50,0.9,5,114.45,-26.78,-1.0483,0.9543,-0.4338,329.41,17.22,0.08,0.022,2258,00 14 12.4,+35 28 40,3.5516666666666663,35.47777777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,61,61,00 11.7,+14 35,1,111,6.8,2,109.69,-47.05,-0.7321,0.6893,-0.2467,308.36,13.53,0.63,1.264,87,00 14 16.8,+14 51 41,3.57,14.861388888888888
