ned_name,ned_z,ned_alt_names,ned_sep_arcsec,ned_type,master_id
ABELL 0001,0.1249,ABELL 0001,10.8,GClstr,0
ABELL 0002,0.1227,ABELL 0002,10.8,GClstr,1
ABELL 0003,0.1017,ABELL 0003,28.8,GClstr,2
ABELL 0004,--,ABELL 0004,39.6,GClstr,3
ABELL 0005,0.136761,ABELL 0005,32.4,GClstr,4
ABELL 0006,--,ABELL 0006,21.6,GClstr,5
PSZRX G113.28-29.71,0.102,PSZRX G113.28-29.71,1137.6,XrayS,6
ABELL 0008,--,ABELL 0008,28.8,GClstr,7
ABELL 0009,--,ABELL 0009,7.2,GClstr,8
ABELL 0010,0.1858,ABELL 0010,3.6,GClstr,9
ABELL 0011,0.166,ABELL 0011,25.2,GClstr,10
ABELL 0012,0.1255,ABELL 0012,14.4,GClstr,11
ABELL 0013 NED01,0.027,ABELL 0013 NED01,21.6,GClstr,12
WISEA J001513.55-235310.7,--,WISEA J001513.55-235310.7,568.8,IrS,13
WISEA J001514.57-260131.3,--,WISEA J001514.57-260131.3,964.8,IrS,14
WISEA J001645.69+064457.4,--,WISEA J001645.69+064457.4,1180.8,IrS,15
ABELL 0017,0.0888,ABELL 0017,39.6,GClstr,16
ABELL 0018,0.1092,ABELL 0018,25.2,GClstr,17
ABELL 0019,0.1876,ABELL 0019,21.6,GClstr,18
ABELL 0020,0.0674,ABELL 0020,0.3,GClstr,19
2MASS J00204331-2542250,0.1441,2MASS J00204331-2542250,5.88,G,21
ABELL 0023,0.1052,ABELL 0023,0.72,GClstr,22
ABELL 0024,0.1338,ABELL 0024,0.18,GClstr,23
ABELL 0025,0.140557,ABELL 0025,0.5399999999999999,GClstr,24
ABELL 0028,0.188506,ABELL 0028,0.6,GClstr,27
ABELL 0031,0.1596,ABELL 0031,0.5399999999999999,GClstr,30
ABELL 0033,0.28,ABELL 0033,0.3,GClstr,32
ABELL 0034,0.1316,ABELL 0034,0.42,GClstr,33
ABELL 0035,0.193467,ABELL 0035,0.24,GClstr,34
ABELL 0037,0.1671,ABELL 0037,0.42,GClstr,36
ABELL 0038,0.1414,ABELL 0038,0.18,GClstr,37
ABELL 0040,0.0999,ABELL 0040,0.36,GClstr,39
ABELL 0041,0.277,ABELL 0041,0.6,GClstr,40
ABELL 0043,0.1114,ABELL 0043,0.3,GClstr,42
ABELL 0044,0.14,ABELL 0044,0.48,GClstr,43
ABELL 0046,0.15,ABELL 0046,0.42,GClstr,45
ABELL 0049,0.1574,ABELL 0049,0.5399999999999999,GClstr,48
ABELL 0053,0.0583,ABELL 0053,0.48,GClstr,52
ABELL 0056,0.302,ABELL 0056,0.72,GClstr,55
ABELL 0057,0.1404,ABELL 0057,0.72,GClstr,56
ABELL 0058,0.0553,ABELL 0058,0.18,GClstr,57
ABELL 0063,0.1082,ABELL 0063,0.36,GClstr,62
ABELL 0064,0.1496,ABELL 0064,0.6,GClstr,63
ABELL 0066,0.1369,ABELL 0066,0.36,GClstr,65
ABELL 0067,0.137,ABELL 0067,0.6599999999999999,GClstr,66
ABELL 0069,0.1454,ABELL 0069,0.5399999999999999,GClstr,68
ABELL 0070,0.1405,ABELL 0070,0.42,GClstr,69
ABELL 0071,0.073531,ABELL 0071,0.6,GClstr,70
ABELL 0072,0.0886,ABELL 0072,0.36,GClstr,71
WISEA J003948.75+064620.1,0.486241,WISEA J003948.75+064620.1,25.8,G,75
ABELL 0079,0.0927,ABELL 0079,0.6599999999999999,GClstr,78
ABELL 0082,0.146,ABELL 0082,0.5399999999999999,GClstr,81
ABELL 0085 NED02,0.076176,ABELL 0085 NED02,0.0,GClstr,84
ABELL 0086,0.063,ABELL 0086,0.6599999999999999,GClstr,85
ABELL 0087,0.055258,ABELL 0087,0.0,GClstr,86
ABELL 0089,0.1371,ABELL 0089,0.42,GClstr,88
ABELL 0090,0.1423,ABELL 0090,0.42,GClstr,89
ABELL 0091,0.1278,ABELL 0091,0.84,GClstr,90
ABELL 0094,0.1248,ABELL 0094,0.24,GClstr,93
ABELL 0096,0.1344,ABELL 0096,0.42,GClstr,95
ABELL 0098N,0.1043,ABELL 0098N,0.24,GClstr,97
ABELL 0099,0.0962,ABELL 0099,0.5399999999999999,GClstr,98
ABELL 0101,0.1169,ABELL 0101,0.24,GClstr,100
ABELL 0102,0.065719,ABELL 0102,0.6599999999999999,GClstr,101
ABELL 0103,0.1934,ABELL 0103,0.42,GClstr,102
ABELL 0107,0.0864,ABELL 0107,0.6599999999999999,GClstr,106
ABELL 0108,0.1019,ABELL 0108,0.42,GClstr,107
ABELL 0110,0.14,ABELL 0110,0.3,GClstr,109
ABELL 0111,0.1613,ABELL 0111,0.24,GClstr,110
ABELL 0112,0.1385,ABELL 0112,0.24,GClstr,111
ABELL 0113,0.1923,ABELL 0113,0.36,GClstr,112
ABELL 0114,0.059057,ABELL 0114,0.3,GClstr,113
ABELL 0116,0.066686,ABELL 0116,0.0,GClstr,115
ABELL 0117,0.054905,ABELL 0117,0.42,GClstr,116
ABELL 0118,0.114122,ABELL 0118,0.0,GClstr,117
ABELL 0119 NED01,0.044294,ABELL 0119 NED01,0.0,GClstr,118
ABELL 0121,0.055,ABELL 0121,0.42,GClstr,120
ABELL 0125,0.188,ABELL 0125,0.5399999999999999,GClstr,124
ABELL 0126,0.053844,ABELL 0126,0.6599999999999999,GClstr,125
ABELL 0130,0.1106,ABELL 0130,0.5399999999999999,GClstr,129
ABELL 0132,0.142,ABELL 0132,0.5399999999999999,GClstr,131
ABELL 0134,0.070048,ABELL 0134,0.48,GClstr,133
ABELL 0137,0.176,ABELL 0137,0.5399999999999999,GClstr,136
ABELL 0143,0.164,ABELL 0143,0.6599999999999999,GClstr,142
ABELL 0144,0.2047,ABELL 0144,0.48,GClstr,143
ABELL 0146,0.1878,ABELL 0146,0.48,GClstr,145
ABELL 0147,0.043463,ABELL 0147,0.6,GClstr,146
ABELL 0148,0.0544,ABELL 0148,0.36,GClstr,147
ABELL 0150,0.059208,ABELL 0150,0.6599999999999999,GClstr,149
ABELL 0151,0.053407,ABELL 0151,0.0,GClstr,150
ABELL 0152,0.058744,ABELL 0152,0.3,GClstr,151
ABELL 0153,0.1279,ABELL 0153,0.18,GClstr,152
ABELL 0154,0.063761,ABELL 0154,0.5399999999999999,GClstr,153
ABELL 0157,0.1034,ABELL 0157,0.5399999999999999,GClstr,156
ABELL 0158,0.063237,ABELL 0158,0.6,GClstr,157
ABELL 0160B,0.061029,ABELL 0160B,0.24,GClstr,159
